epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4632.7,0.89559,0.57805,1.1838,0.48403,0.44902,0.43035,0.27399,1.17367,2.34419,1.48887,0.0005941,0.0005941,0.0005941
43,4742.3,0.88269,0.58235,1.18571,0.48717,0.49752,0.4771,0.28705,1.21276,2.2662,1.52059,0.0005842,0.0005842,0.0005842
44,4851.71,0.89016,0.58016,1.18309,0.53164,0.4735,0.48093,0.29503,1.15887,2.23134,1.49949,0.0005743,0.0005743,0.0005743
45,4961.77,0.87927,0.5705,1.18344,0.47674,0.5216,0.46524,0.28807,1.17314,2.33272,1.52139,0.0005644,0.0005644,0.0005644
46,5071.32,0.869,0.5666,1.16865,0.47992,0.52869,0.47204,0.29546,1.19236,2.27531,1.53747,0.0005545,0.0005545,0.0005545
47,5179.24,0.86479,0.5528,1.17023,0.48075,0.50458,0.45851,0.28428,1.19029,2.23153,1.51957,0.0005446,0.0005446,0.0005446
48,5287.98,0.86753,0.55264,1.16793,0.52907,0.53626,0.4963,0.30046,1.18509,2.1868,1.53955,0.0005347,0.0005347,0.0005347
49,5397.63,0.86945,0.55101,1.16426,0.51219,0.51583,0.49207,0.30919,1.15761,2.30463,1.49347,0.0005248,0.0005248,0.0005248
50,5508.14,0.86379,0.55192,1.16372,0.51307,0.52343,0.48451,0.29226,1.19852,2.25544,1.52046,0.0005149,0.0005149,0.0005149
51,5617.6,0.85613,0.5402,1.15999,0.47587,0.49498,0.45127,0.27449,1.18017,2.38012,1.54809,0.000505,0.000505,0.000505
52,5726.51,0.83961,0.53858,1.15464,0.50256,0.51017,0.47943,0.30214,1.15789,2.31156,1.53001,0.0004951,0.0004951,0.0004951
53,5834.38,0.84455,0.53943,1.15577,0.48098,0.48954,0.45946,0.28438,1.13701,2.34249,1.47665,0.0004852,0.0004852,0.0004852
54,5943.08,0.84765,0.54399,1.1532,0.45425,0.49727,0.43987,0.27825,1.15371,2.26123,1.51238,0.0004753,0.0004753,0.0004753
55,6054.12,0.84408,0.53891,1.15668,0.47162,0.47652,0.42252,0.26517,1.18804,2.50143,1.55614,0.0004654,0.0004654,0.0004654
56,6164.25,0.83805,0.53888,1.15356,0.47895,0.49599,0.43095,0.27859,1.1569,2.35674,1.47966,0.0004555,0.0004555,0.0004555
57,6273.56,0.83378,0.53239,1.15067,0.46383,0.5,0.43548,0.28353,1.19137,2.38806,1.55324,0.0004456,0.0004456,0.0004456
58,6383.87,0.82395,0.52626,1.14671,0.45264,0.54298,0.45498,0.28905,1.19154,2.38705,1.52613,0.0004357,0.0004357,0.0004357
59,6493.3,0.82662,0.52515,1.14363,0.4997,0.50436,0.44958,0.30426,1.20265,2.31332,1.55744,0.0004258,0.0004258,0.0004258
60,6602.25,0.81906,0.51347,1.13846,0.46628,0.5825,0.48107,0.31154,1.16215,2.20244,1.57481,0.0004159,0.0004159,0.0004159
61,6712.06,0.8075,0.51113,1.13225,0.53062,0.5373,0.49095,0.30846,1.19593,2.12512,1.58781,0.000406,0.000406,0.000406
62,6821.62,0.81458,0.51216,1.13552,0.48648,0.54238,0.465,0.28772,1.19324,2.26675,1.6083,0.0003961,0.0003961,0.0003961
63,6931.36,0.80388,0.50222,1.13008,0.50564,0.5268,0.4931,0.30989,1.20158,2.18901,1.58683,0.0003862,0.0003862,0.0003862
64,7040.95,0.80837,0.50751,1.13567,0.47563,0.51328,0.47215,0.29435,1.20559,2.24471,1.54997,0.0003763,0.0003763,0.0003763
65,7150.62,0.80477,0.51106,1.13133,0.47916,0.53607,0.4542,0.28961,1.19605,2.22539,1.56248,0.0003664,0.0003664,0.0003664
66,7260.04,0.79182,0.49777,1.12484,0.51371,0.51045,0.47399,0.32143,1.18517,2.19453,1.59337,0.0003565,0.0003565,0.0003565
67,7369.85,0.79124,0.49303,1.12695,0.48696,0.4951,0.4669,0.32221,1.17181,2.33379,1.59653,0.0003466,0.0003466,0.0003466
68,7479.98,0.79408,0.49644,1.12291,0.49428,0.52695,0.47429,0.3177,1.15969,2.27663,1.5535,0.0003367,0.0003367,0.0003367
69,7588.27,0.78323,0.49266,1.12065,0.48891,0.51694,0.47411,0.32814,1.14711,2.19562,1.50895,0.0003268,0.0003268,0.0003268
70,7698.22,0.77701,0.48404,1.11279,0.48328,0.49006,0.45886,0.30703,1.18057,2.24479,1.58891,0.0003169,0.0003169,0.0003169
71,7807.61,0.7771,0.48891,1.1137,0.40357,0.61826,0.47896,0.30588,1.18317,2.27458,1.58978,0.000307,0.000307,0.000307
72,7917.15,0.77662,0.48074,1.11294,0.48981,0.47514,0.45841,0.28877,1.19457,2.32184,1.58504,0.0002971,0.0002971,0.0002971
73,8026.62,0.76304,0.47185,1.10729,0.49195,0.47902,0.46969,0.2921,1.17906,2.34851,1.57107,0.0002872,0.0002872,0.0002872
74,8136.15,0.77155,0.47564,1.11457,0.43057,0.55869,0.46996,0.29971,1.18174,2.29564,1.56285,0.0002773,0.0002773,0.0002773
75,8245.77,0.76175,0.48356,1.10487,0.49661,0.50374,0.47045,0.30397,1.19345,2.34002,1.57682,0.0002674,0.0002674,0.0002674
76,8355.2,0.76038,0.47755,1.10419,0.44788,0.56977,0.45963,0.30059,1.20063,2.38358,1.5646,0.0002575,0.0002575,0.0002575
77,8464.66,0.76424,0.47061,1.10824,0.4716,0.48535,0.44591,0.28519,1.21771,2.42239,1.57724,0.0002476,0.0002476,0.0002476
78,8574.78,0.74936,0.45676,1.09652,0.45495,0.52774,0.45297,0.30064,1.19903,2.38645,1.57246,0.0002377,0.0002377,0.0002377
79,8684.07,0.74737,0.45681,1.10123,0.46086,0.52191,0.45792,0.30443,1.19239,2.31924,1.54876,0.0002278,0.0002278,0.0002278
80,8793.96,0.74528,0.45604,1.09201,0.46036,0.55095,0.45782,0.30446,1.18394,2.31496,1.55665,0.0002179,0.0002179,0.0002179
81,8903.58,0.74532,0.45235,1.09448,0.41228,0.62056,0.46169,0.30585,1.19878,2.29043,1.55853,0.000208,0.000208,0.000208
82,9013.01,0.74084,0.45704,1.09427,0.41273,0.61901,0.47363,0.31257,1.21348,2.25071,1.57319,0.0001981,0.0001981,0.0001981
83,9122.33,0.73818,0.45492,1.09239,0.40334,0.63313,0.45978,0.30004,1.20932,2.30199,1.54501,0.0001882,0.0001882,0.0001882
84,9231.13,0.7312,0.4468,1.08693,0.48986,0.54604,0.46653,0.2998,1.21852,2.24563,1.57749,0.0001783,0.0001783,0.0001783
85,9340.03,0.72641,0.44488,1.09133,0.41352,0.6294,0.46053,0.30851,1.19985,2.27692,1.53438,0.0001684,0.0001684,0.0001684
86,9449.02,0.72674,0.44363,1.08529,0.42983,0.63451,0.46949,0.30879,1.20772,2.21593,1.55044,0.0001585,0.0001585,0.0001585
87,9557.81,0.72827,0.4418,1.08562,0.43009,0.63266,0.46821,0.30666,1.23248,2.24779,1.58756,0.0001486,0.0001486,0.0001486
88,9666.89,0.72777,0.44307,1.08378,0.42671,0.63562,0.4651,0.30289,1.22785,2.26858,1.58267,0.0001387,0.0001387,0.0001387
89,9775.64,0.71188,0.42794,1.07641,0.42826,0.61388,0.46017,0.29876,1.22126,2.33509,1.57893,0.0001288,0.0001288,0.0001288
