frame_idx,timestamp_sec,torchere,class_name,confidence,qualite,x1,y1,x2,y2,dark_ratio,flame_ratio,smoke_ratio,mean_intensity
60,2.002,Torchere A,Medium-Flare,0.7696,moyenne,113,444,305,550,0.072,0.195,0.474,0.651
61,2.035,Torchere A,Dark-Flare,0.7072,mauvaise,105,449,302,540,0.065,0.234,0.44,0.659
61,2.035,Torchere A,Medium-Flare,0.4783,mauvaise,108,446,307,541,0.065,0.222,0.451,0.653
62,2.069,Torchere A,Medium-Flare,0.6014,mauvaise,112,448,310,540,0.068,0.251,0.435,0.656
62,2.069,Torchere A,Dark-Flare,0.5403,mauvaise,149,451,307,538,0.085,0.332,0.363,0.668
63,2.102,Torchere A,Medium-Flare,0.6367,mauvaise,166,451,311,538,0.095,0.371,0.33,0.678
63,2.102,Torchere A,Dark-Flare,0.5940,mauvaise,166,452,310,538,0.096,0.378,0.326,0.68
64,2.135,Torchere A,Medium-Flare,0.8382,moyenne,158,447,313,535,0.084,0.369,0.351,0.681
65,2.169,Torchere A,Medium-Flare,0.8333,moyenne,153,447,313,536,0.081,0.372,0.322,0.687
66,2.202,Torchere A,Medium-Flare,0.8157,moyenne,146,446,315,537,0.075,0.365,0.346,0.688
67,2.236,Torchere A,Medium-Flare,0.7809,moyenne,140,445,315,540,0.073,0.353,0.357,0.686
68,2.269,Torchere A,Dark-Flare,0.6109,mauvaise,131,444,315,541,0.068,0.334,0.357,0.684
68,2.269,Torchere A,Medium-Flare,0.5318,mauvaise,132,444,315,541,0.068,0.336,0.356,0.684
69,2.302,Torchere A,Medium-Flare,0.6873,mauvaise,122,442,310,540,0.065,0.367,0.33,0.687
69,2.302,Torchere A,Dark-Flare,0.6215,mauvaise,124,442,312,540,0.065,0.367,0.332,0.687
70,2.336,Torchere A,Medium-Flare,0.5320,moyenne,117,440,314,541,0.06,0.34,0.341,0.685
71,2.369,Torchere A,Dark-Flare,0.4467,mauvaise,104,435,314,542,0.055,0.3,0.345,0.669
72,2.402,Torchere A,Medium-Flare,0.6741,moyenne,111,439,315,540,0.059,0.296,0.346,0.668
73,2.436,Torchere A,Dark-Flare,0.4219,mauvaise,103,443,315,541,0.059,0.279,0.364,0.659
74,2.469,Torchere A,Dark-Flare,0.5122,mauvaise,95,444,312,543,0.058,0.25,0.396,0.648
74,2.469,Torchere A,Medium-Flare,0.4546,mauvaise,94,441,312,542,0.056,0.244,0.389,0.647
75,2.502,Torchere A,Medium-Flare,0.5407,moyenne,89,453,312,549,0.064,0.234,0.452,0.641
77,2.569,Torchere A,Medium-Flare,0.4464,moyenne,75,452,311,557,0.067,0.168,0.501,0.629
79,2.636,Torchere A,Light-Flare,0.6937,moyenne,62,445,314,559,0.059,0.146,0.521,0.624
79,2.636,Torchere A,Medium-Flare,0.4007,moyenne,58,448,313,558,0.059,0.15,0.521,0.624
81,2.703,Torchere A,Medium-Flare,0.7008,moyenne,47,453,312,550,0.054,0.169,0.516,0.629
82,2.736,Torchere A,Medium-Flare,0.6266,moyenne,94,455,313,543,0.063,0.237,0.457,0.646
83,2.769,Torchere A,Medium-Flare,0.8151,moyenne,134,457,313,543,0.077,0.299,0.399,0.656
84,2.803,Torchere A,Medium-Flare,0.4835,moyenne,128,454,310,541,0.072,0.264,0.386,0.656
85,2.836,Torchere A,Medium-Flare,0.8112,moyenne,120,455,311,542,0.07,0.243,0.407,0.651
86,2.870,Torchere A,Medium-Flare,0.4643,moyenne,108,454,310,543,0.066,0.219,0.438,0.647
87,2.903,Torchere A,Medium-Flare,0.6780,moyenne,106,454,312,547,0.066,0.201,0.488,0.639
88,2.936,Torchere A,Medium-Flare,0.6262,moyenne,106,451,310,547,0.065,0.205,0.495,0.637
89,2.970,Torchere A,Medium-Flare,0.4319,mauvaise,95,449,309,544,0.059,0.2,0.467,0.635
89,2.970,Torchere A,Dark-Flare,0.4211,mauvaise,94,452,308,543,0.06,0.209,0.467,0.637
90,3.003,Torchere A,Medium-Flare,0.4985,moyenne,128,452,310,541,0.071,0.246,0.428,0.648
91,3.036,Torchere A,Medium-Flare,0.6066,moyenne,148,450,311,542,0.077,0.265,0.421,0.656
92,3.070,Torchere A,Medium-Flare,0.5507,moyenne,139,450,309,545,0.074,0.256,0.446,0.654
93,3.103,Torchere A,Medium-Flare,0.7161,moyenne,137,446,309,548,0.071,0.236,0.454,0.653
94,3.136,Torchere A,Medium-Flare,0.5809,moyenne,136,439,310,543,0.064,0.224,0.424,0.656
95,3.170,Torchere A,Medium-Flare,0.6433,moyenne,166,443,312,543,0.079,0.292,0.435,0.664
96,3.203,Torchere A,Dark-Flare,0.5754,mauvaise,166,446,307,543,0.082,0.325,0.427,0.671
96,3.203,Torchere A,Medium-Flare,0.5293,mauvaise,164,446,308,543,0.081,0.318,0.43,0.669
97,3.237,Torchere A,Medium-Flare,0.6646,moyenne,166,446,308,543,0.082,0.337,0.419,0.668
98,3.270,Torchere A,Medium-Flare,0.6543,moyenne,170,441,308,549,0.083,0.311,0.42,0.666
99,3.303,Torchere A,Medium-Flare,0.6585,moyenne,165,437,310,552,0.076,0.295,0.41,0.662
100,3.337,Torchere A,Medium-Flare,0.5298,moyenne,147,447,313,548,0.072,0.301,0.416,0.663
101,3.370,Torchere A,Medium-Flare,0.5111,mauvaise,151,451,311,557,0.081,0.31,0.439,0.662
101,3.370,Torchere A,Dark-Flare,0.5003,mauvaise,151,450,312,555,0.078,0.311,0.44,0.664
102,3.403,Torchere A,Medium-Flare,0.5018,mauvaise,136,454,313,555,0.074,0.301,0.444,0.664
102,3.403,Torchere A,Dark-Flare,0.4146,mauvaise,138,454,311,554,0.076,0.311,0.435,0.666
103,3.437,Torchere A,Dark-Flare,0.6093,mauvaise,141,456,311,551,0.077,0.334,0.428,0.668
104,3.470,Torchere A,Medium-Flare,0.4876,mauvaise,137,458,315,548,0.073,0.313,0.414,0.67
104,3.470,Torchere A,Dark-Flare,0.4106,mauvaise,143,459,312,549,0.078,0.329,0.4,0.671
105,3.504,Torchere A,Medium-Flare,0.4904,mauvaise,97,454,315,551,0.058,0.237,0.473,0.655
105,3.504,Torchere A,Dark-Flare,0.4827,mauvaise,123,457,312,552,0.069,0.279,0.459,0.66
106,3.537,Torchere A,Medium-Flare,0.4351,moyenne,128,455,313,549,0.068,0.293,0.449,0.661
107,3.570,Torchere A,Dark-Flare,0.7039,mauvaise,129,455,314,550,0.068,0.284,0.466,0.659
108,3.604,Torchere A,Dark-Flare,0.7494,mauvaise,122,453,315,547,0.063,0.282,0.44,0.661
109,3.637,Torchere A,Dark-Flare,0.5019,mauvaise,114,453,317,549,0.06,0.257,0.448,0.657
110,3.670,Torchere A,Dark-Flare,0.6851,mauvaise,107,449,317,553,0.057,0.23,0.466,0.652
111,3.704,Torchere A,Dark-Flare,0.7941,mauvaise,104,451,316,555,0.059,0.242,0.461,0.652
112,3.737,Torchere A,Dark-Flare,0.5918,mauvaise,100,454,317,554,0.06,0.237,0.477,0.65
113,3.770,Torchere A,Medium-Flare,0.7204,moyenne,93,452,316,556,0.057,0.21,0.486,0.644
114,3.804,Torchere A,Medium-Flare,0.5677,moyenne,76,445,319,557,0.048,0.171,0.477,0.638
115,3.837,Torchere A,Medium-Flare,0.7009,moyenne,92,450,317,554,0.054,0.198,0.472,0.64
116,3.871,Torchere A,Medium-Flare,0.5829,mauvaise,84,453,319,554,0.052,0.208,0.478,0.645
116,3.871,Torchere A,Dark-Flare,0.4325,mauvaise,87,456,320,552,0.054,0.221,0.476,0.647
117,3.904,Torchere A,Medium-Flare,0.5681,moyenne,76,456,319,556,0.053,0.223,0.48,0.649
118,3.937,Torchere A,Dark-Flare,0.4605,mauvaise,77,448,317,557,0.051,0.205,0.456,0.648
118,3.937,Torchere A,Medium-Flare,0.4374,mauvaise,76,447,318,558,0.051,0.2,0.458,0.647
119,3.971,Torchere A,Dark-Flare,0.6169,mauvaise,65,449,318,559,0.049,0.176,0.468,0.645
120,4.004,Torchere A,Medium-Flare,0.7434,moyenne,132,441,316,554,0.061,0.212,0.396,0.65
121,4.037,Torchere A,Medium-Flare,0.7591,mauvaise,133,442,316,554,0.061,0.188,0.438,0.639
121,4.037,Torchere A,Dark-Flare,0.4809,mauvaise,131,442,314,554,0.061,0.188,0.435,0.639
122,4.071,Torchere A,Medium-Flare,0.8183,moyenne,129,440,316,554,0.059,0.15,0.489,0.627
123,4.104,Torchere A,Medium-Flare,0.5784,moyenne,122,444,316,551,0.057,0.151,0.555,0.623
124,4.137,Torchere A,Medium-Flare,0.5022,moyenne,113,442,316,547,0.053,0.151,0.541,0.619
125,4.171,Torchere A,Medium-Flare,0.4873,moyenne,100,448,316,548,0.053,0.16,0.563,0.621
127,4.238,Torchere A,Medium-Flare,0.6527,moyenne,199,448,318,541,0.095,0.362,0.377,0.669
128,4.271,Torchere A,Medium-Flare,0.5799,mauvaise,196,447,319,544,0.09,0.363,0.364,0.669
128,4.271,Torchere A,Dark-Flare,0.4655,mauvaise,196,446,320,544,0.089,0.356,0.368,0.668
129,4.304,Torchere A,Medium-Flare,0.5598,mauvaise,181,445,321,552,0.08,0.291,0.398,0.661
129,4.304,Torchere A,Dark-Flare,0.4081,mauvaise,186,446,318,551,0.085,0.314,0.384,0.664
130,4.338,Torchere A,Medium-Flare,0.7628,moyenne,181,444,320,552,0.081,0.299,0.415,0.661
131,4.371,Torchere A,Medium-Flare,0.5421,moyenne,177,438,319,556,0.077,0.267,0.453,0.651
132,4.404,Torchere A,Medium-Flare,0.7532,moyenne,171,435,320,553,0.069,0.277,0.447,0.655
133,4.438,Torchere A,Dark-Flare,0.5837,mauvaise,170,436,317,553,0.07,0.272,0.455,0.656
133,4.438,Torchere A,Medium-Flare,0.5391,mauvaise,166,436,320,552,0.067,0.262,0.458,0.656
134,4.471,Torchere A,Medium-Flare,0.7753,moyenne,163,440,321,558,0.071,0.249,0.49,0.651
135,4.505,Torchere A,Medium-Flare,0.7359,moyenne,163,445,321,558,0.074,0.263,0.491,0.657
136,4.538,Torchere A,Medium-Flare,0.6583,mauvaise,166,446,322,556,0.073,0.295,0.457,0.665
136,4.538,Torchere A,Dark-Flare,0.5845,mauvaise,167,447,319,555,0.075,0.308,0.445,0.667
137,4.571,Torchere A,Medium-Flare,0.7561,moyenne,164,445,320,550,0.071,0.32,0.429,0.674
138,4.605,Torchere A,Medium-Flare,0.8139,moyenne,156,439,321,547,0.062,0.31,0.404,0.674
139,4.638,Torchere A,Medium-Flare,0.8065,moyenne,147,441,321,547,0.059,0.32,0.371,0.679
140,4.671,Torchere A,Medium-Flare,0.7170,moyenne,140,438,320,547,0.056,0.299,0.359,0.678
141,4.705,Torchere A,Medium-Flare,0.8009,moyenne,136,438,321,547,0.055,0.302,0.354,0.679
142,4.738,Torchere A,Medium-Flare,0.7833,mauvaise,134,431,321,542,0.05,0.294,0.331,0.677
142,4.738,Torchere A,Dark-Flare,0.4381,mauvaise,134,431,319,543,0.05,0.294,0.329,0.677
143,4.771,Torchere A,Medium-Flare,0.8155,moyenne,131,431,322,545,0.049,0.276,0.38,0.672
144,4.805,Torchere A,Medium-Flare,0.7922,moyenne,129,434,321,547,0.05,0.243,0.419,0.668
145,4.838,Torchere A,Medium-Flare,0.5468,moyenne,126,434,321,545,0.048,0.22,0.428,0.662
146,4.872,Torchere A,Medium-Flare,0.4503,moyenne,121,434,319,547,0.049,0.204,0.481,0.651
147,4.905,Torchere A,Medium-Flare,0.7267,moyenne,130,433,321,546,0.05,0.211,0.527,0.643
148,4.938,Torchere A,Medium-Flare,0.6790,moyenne,126,436,320,548,0.051,0.183,0.543,0.64
149,4.972,Torchere A,Medium-Flare,0.5155,moyenne,185,446,321,551,0.082,0.285,0.466,0.657
150,5.005,Torchere A,Dark-Flare,0.6725,mauvaise,188,446,321,554,0.084,0.289,0.475,0.654
150,5.005,Torchere A,Medium-Flare,0.5745,mauvaise,186,446,322,554,0.082,0.283,0.482,0.654
151,5.038,Torchere A,Dark-Flare,0.5814,mauvaise,186,446,320,558,0.086,0.275,0.468,0.65
151,5.038,Torchere A,Medium-Flare,0.5521,mauvaise,184,445,322,558,0.082,0.265,0.476,0.649
152,5.072,Torchere A,Dark-Flare,0.6558,mauvaise,179,444,319,562,0.085,0.241,0.462,0.642
152,5.072,Torchere A,Medium-Flare,0.5061,mauvaise,178,443,320,562,0.083,0.235,0.463,0.642
153,5.105,Torchere A,Medium-Flare,0.6894,moyenne,177,444,320,562,0.083,0.222,0.476,0.64
154,5.138,Torchere A,Medium-Flare,0.7436,moyenne,167,451,318,562,0.083,0.244,0.509,0.638
155,5.172,Torchere A,Medium-Flare,0.5825,mauvaise,162,455,321,564,0.084,0.24,0.51,0.64
155,5.172,Torchere A,Dark-Flare,0.4028,mauvaise,165,454,317,565,0.089,0.247,0.502,0.638
