frame_idx,timestamp_sec,torchere,class_name,confidence,qualite,x1,y1,x2,y2,dark_ratio,flame_ratio,smoke_ratio,mean_intensity
23,0.767,Torchere A,Medium-Smoke,0.4538,mauvaise,0,1035,488,1279,0.0,0.057,0.304,0.475
24,0.800,Torchere A,Dark-Flare,0.7736,mauvaise,283,313,383,586,0.0,0.097,0.305,0.785
24,0.800,Torchere A,Dark-Smoke,0.7573,mauvaise,125,0,718,598,0.0,0.007,0.22,0.776
25,0.833,Torchere A,Dark-Flare,0.8346,mauvaise,298,309,396,588,0.0,0.092,0.335,0.779
25,0.833,Torchere A,Dark-Smoke,0.7923,mauvaise,48,0,720,601,0.0,0.006,0.229,0.776
26,0.867,Torchere A,Dark-Flare,0.8253,mauvaise,298,309,397,591,0.0,0.087,0.336,0.778
26,0.867,Torchere A,Dark-Smoke,0.8259,mauvaise,95,0,720,602,0.0,0.006,0.226,0.775
27,0.900,Torchere A,Medium-Flare,0.5947,mauvaise,282,327,382,592,0.0,0.088,0.308,0.785
27,0.900,Torchere A,Dark-Smoke,0.8130,mauvaise,188,0,717,600,0.0,0.007,0.222,0.772
27,0.900,Torchere A,Medium-Smoke,0.5058,mauvaise,1,1015,501,1279,0.0,0.047,0.334,0.473
28,0.933,Torchere A,Dark-Flare,0.5308,mauvaise,275,320,368,583,0.0,0.096,0.296,0.789
28,0.933,Torchere A,Medium-Flare,0.4446,mauvaise,276,320,368,584,0.0,0.097,0.298,0.789
28,0.933,Torchere A,Dark-Smoke,0.7317,mauvaise,153,0,720,593,0.0,0.007,0.216,0.775
29,0.967,Torchere A,Dark-Flare,0.8319,mauvaise,269,306,362,578,0.0,0.095,0.305,0.785
29,0.967,Torchere A,Medium-Flare,0.4159,mauvaise,267,306,365,578,0.0,0.09,0.31,0.783
29,0.967,Torchere A,Dark-Smoke,0.6921,mauvaise,148,0,717,589,0.0,0.007,0.216,0.775
30,1.000,Torchere A,Dark-Flare,0.7898,mauvaise,265,302,360,577,0.0,0.097,0.329,0.78
30,1.000,Torchere A,Medium-Flare,0.4271,mauvaise,264,302,360,577,0.0,0.096,0.326,0.78
30,1.000,Torchere A,Dark-Smoke,0.4625,mauvaise,36,0,709,593,0.0,0.006,0.231,0.778
30,1.000,Torchere A,Medium-Smoke,0.4365,mauvaise,2,1043,506,1280,0.0,0.072,0.225,0.479
31,1.033,Torchere A,Medium-Flare,0.7160,mauvaise,263,298,360,586,0.0,0.093,0.34,0.775
31,1.033,Torchere A,Dark-Flare,0.5142,mauvaise,261,299,359,584,0.0,0.093,0.33,0.777
31,1.033,Torchere A,Medium-Smoke,0.5583,mauvaise,3,1049,473,1280,0.0,0.053,0.237,0.48
31,1.033,Torchere A,Dark-Smoke,0.5388,mauvaise,61,0,710,599,0.0,0.007,0.225,0.778
32,1.067,Torchere A,Medium-Flare,0.7850,mauvaise,265,296,359,585,0.0,0.096,0.326,0.778
32,1.067,Torchere A,Dark-Flare,0.4175,mauvaise,265,297,362,584,0.0,0.094,0.336,0.776
32,1.067,Torchere A,Dark-Smoke,0.5823,mauvaise,49,0,711,600,0.0,0.007,0.227,0.778
33,1.100,Torchere A,Dark-Flare,0.8415,mauvaise,271,287,374,573,0.0,0.085,0.369,0.768
33,1.100,Torchere A,Dark-Smoke,0.6923,mauvaise,117,0,717,583,0.0,0.007,0.223,0.777
34,1.133,Torchere A,Medium-Flare,0.8362,mauvaise,276,245,382,571,0.0,0.089,0.375,0.769
34,1.133,Torchere A,Dark-Smoke,0.7958,mauvaise,228,0,716,581,0.0,0.011,0.22,0.774
35,1.167,Torchere A,Medium-Flare,0.8586,mauvaise,280,243,387,575,0.0,0.09,0.379,0.767
35,1.167,Torchere A,Dark-Smoke,0.8259,mauvaise,205,0,718,575,0.0,0.011,0.221,0.774
36,1.200,Torchere A,Medium-Flare,0.8692,mauvaise,281,249,385,574,0.0,0.09,0.377,0.768
36,1.200,Torchere A,Dark-Smoke,0.8397,mauvaise,245,0,720,580,0.0,0.011,0.23,0.771
37,1.233,Torchere A,Medium-Flare,0.8195,mauvaise,279,248,375,581,0.0,0.096,0.374,0.77
37,1.233,Torchere A,Dark-Smoke,0.8503,mauvaise,204,0,720,585,0.0,0.01,0.224,0.773
38,1.267,Torchere A,Medium-Flare,0.8450,mauvaise,276,251,373,581,0.0,0.092,0.378,0.766
38,1.267,Torchere A,Dark-Smoke,0.8690,mauvaise,225,0,718,589,0.0,0.01,0.226,0.771
39,1.300,Torchere A,Medium-Flare,0.8192,mauvaise,274,258,367,583,0.0,0.097,0.357,0.773
39,1.300,Torchere A,Dark-Smoke,0.8503,mauvaise,199,0,720,587,0.0,0.01,0.224,0.773
40,1.333,Torchere A,Medium-Flare,0.8655,mauvaise,271,263,371,585,0.0,0.098,0.364,0.764
40,1.333,Torchere A,Dark-Smoke,0.8589,mauvaise,220,0,719,586,0.0,0.011,0.228,0.771
41,1.367,Torchere A,Medium-Flare,0.8724,mauvaise,269,260,380,585,0.0,0.086,0.393,0.756
41,1.367,Torchere A,Dark-Smoke,0.8139,mauvaise,101,0,719,587,0.0,0.009,0.221,0.775
42,1.400,Torchere A,Medium-Flare,0.8467,mauvaise,277,252,389,585,0.0,0.084,0.416,0.752
42,1.400,Torchere A,Dark-Smoke,0.8369,mauvaise,148,0,720,589,0.0,0.009,0.223,0.774
43,1.433,Torchere A,Medium-Flare,0.8232,mauvaise,287,265,385,582,0.0,0.104,0.384,0.761
43,1.433,Torchere A,Dark-Smoke,0.8467,mauvaise,177,0,720,590,0.0,0.01,0.223,0.772
44,1.467,Torchere A,Medium-Flare,0.8279,mauvaise,286,323,383,582,0.0,0.135,0.301,0.785
44,1.467,Torchere A,Dark-Smoke,0.8217,mauvaise,209,0,720,588,0.0,0.011,0.227,0.771
45,1.500,Torchere A,Medium-Flare,0.8866,mauvaise,280,321,381,584,0.0,0.118,0.313,0.78
45,1.500,Torchere A,Dark-Smoke,0.8136,mauvaise,108,0,720,594,0.0,0.009,0.218,0.775
46,1.533,Torchere A,Medium-Flare,0.9036,mauvaise,278,293,383,583,0.0,0.12,0.307,0.782
46,1.533,Torchere A,Dark-Smoke,0.5613,mauvaise,117,0,720,598,0.0,0.01,0.211,0.775
47,1.567,Torchere A,Medium-Flare,0.8349,mauvaise,268,263,386,579,0.0,0.118,0.307,0.781
47,1.567,Torchere A,Dark-Smoke,0.9096,mauvaise,248,1,719,591,0.0,0.016,0.247,0.768
48,1.600,Torchere A,Medium-Flare,0.8471,mauvaise,264,265,379,583,0.0,0.12,0.318,0.78
48,1.600,Torchere A,Dark-Smoke,0.9025,mauvaise,241,1,720,595,0.0,0.015,0.242,0.769
49,1.633,Torchere A,Medium-Flare,0.8231,mauvaise,256,221,371,576,0.0,0.123,0.33,0.778
49,1.633,Torchere A,Dark-Smoke,0.8588,mauvaise,243,0,720,593,0.0,0.018,0.248,0.77
50,1.667,Torchere A,Medium-Flare,0.8448,mauvaise,251,209,369,580,0.0,0.116,0.35,0.772
50,1.667,Torchere A,Dark-Smoke,0.8473,mauvaise,201,0,720,595,0.0,0.016,0.232,0.773
51,1.700,Torchere A,Medium-Flare,0.8639,mauvaise,247,202,373,579,0.0,0.118,0.336,0.777
51,1.700,Torchere A,Dark-Smoke,0.7904,mauvaise,203,0,720,592,0.0,0.018,0.237,0.775
52,1.733,Torchere A,Medium-Flare,0.8660,mauvaise,252,186,381,582,0.0,0.108,0.355,0.771
52,1.733,Torchere A,Dark-Smoke,0.8325,mauvaise,232,0,720,598,0.0,0.019,0.251,0.773
53,1.767,Torchere A,Medium-Flare,0.8802,mauvaise,257,258,383,584,0.0,0.151,0.246,0.808
53,1.767,Torchere A,Dark-Smoke,0.6251,mauvaise,235,0,720,599,0.0,0.021,0.255,0.774
54,1.800,Torchere A,Medium-Flare,0.8663,mauvaise,258,198,413,576,0.0,0.129,0.259,0.802
54,1.800,Torchere A,Dark-Smoke,0.8504,mauvaise,238,0,720,585,0.0,0.027,0.281,0.777
55,1.833,Torchere A,Medium-Flare,0.8662,mauvaise,259,199,414,577,0.0,0.156,0.26,0.796
55,1.833,Torchere A,Dark-Smoke,0.8829,mauvaise,246,1,720,583,0.0,0.033,0.309,0.762
56,1.867,Torchere A,Medium-Flare,0.8459,mauvaise,256,162,420,570,0.0,0.17,0.272,0.791
56,1.867,Torchere A,Dark-Smoke,0.8940,mauvaise,247,0,719,584,0.0,0.041,0.306,0.763
57,1.900,Torchere A,Medium-Flare,0.8821,mauvaise,263,131,432,561,0.0,0.189,0.374,0.782
57,1.900,Torchere A,Dark-Smoke,0.9212,mauvaise,247,0,720,574,0.0,0.051,0.39,0.752
58,1.933,Torchere A,Medium-Flare,0.8875,mauvaise,262,124,432,559,0.0,0.191,0.376,0.784
58,1.933,Torchere A,Dark-Smoke,0.9169,mauvaise,247,0,720,567,0.0,0.053,0.391,0.753
59,1.967,Torchere A,Medium-Flare,0.8663,mauvaise,254,129,424,559,0.0,0.196,0.374,0.785
59,1.967,Torchere A,Dark-Smoke,0.9244,mauvaise,240,0,719,574,0.0,0.052,0.384,0.754
60,2.000,Torchere A,Medium-Flare,0.8779,mauvaise,249,96,433,562,0.0,0.179,0.384,0.779
60,2.000,Torchere A,Dark-Smoke,0.9164,mauvaise,239,0,720,571,0.0,0.056,0.371,0.759
61,2.033,Torchere A,Medium-Flare,0.8569,mauvaise,255,68,436,551,0.0,0.211,0.358,0.787
61,2.033,Torchere A,Dark-Smoke,0.8819,mauvaise,241,0,720,563,0.0,0.068,0.363,0.762
62,2.067,Torchere A,Medium-Flare,0.8520,mauvaise,251,48,438,551,0.0,0.192,0.321,0.793
62,2.067,Torchere A,Dark-Smoke,0.6972,mauvaise,245,5,720,563,0.0,0.068,0.324,0.769
63,2.100,Torchere A,Medium-Flare,0.8346,mauvaise,252,42,441,554,0.0,0.193,0.508,0.776
63,2.100,Torchere A,Dark-Smoke,0.6774,mauvaise,243,5,720,574,0.0,0.069,0.503,0.756
64,2.133,Torchere A,Medium-Flare,0.7942,mauvaise,256,37,443,577,0.0,0.223,0.554,0.781
64,2.133,Torchere A,Dark-Smoke,0.6405,mauvaise,248,2,720,584,0.0,0.082,0.683,0.752
65,2.167,Torchere A,Medium-Flare,0.7480,mauvaise,255,45,443,584,0.0,0.273,0.529,0.774
65,2.167,Torchere A,Dark-Smoke,0.6973,mauvaise,246,0,720,601,0.0,0.097,0.829,0.734
66,2.200,Torchere A,Medium-Flare,0.8117,mauvaise,242,79,455,605,0.0,0.26,0.574,0.749
66,2.200,Torchere A,Dark-Smoke,0.6181,mauvaise,237,6,699,616,0.0,0.104,0.826,0.718
67,2.233,Torchere A,Medium-Flare,0.7962,mauvaise,227,83,447,625,0.0,0.271,0.572,0.745
67,2.233,Torchere A,Dark-Smoke,0.7189,mauvaise,218,2,720,655,0.0,0.099,0.839,0.717
68,2.267,Torchere A,Medium-Flare,0.8231,mauvaise,207,98,417,615,0.0,0.307,0.539,0.748
68,2.267,Torchere A,Dark-Smoke,0.8148,mauvaise,197,0,720,665,0.0,0.098,0.849,0.713
69,2.300,Torchere A,Medium-Flare,0.7907,mauvaise,200,98,418,636,0.0,0.304,0.547,0.74
69,2.300,Torchere A,Dark-Smoke,0.7567,mauvaise,185,0,720,702,0.0,0.097,0.852,0.712
70,2.333,Torchere A,Medium-Flare,0.6881,mauvaise,196,119,419,658,0.0,0.324,0.527,0.743
70,2.333,Torchere A,Dark-Smoke,0.8146,mauvaise,180,0,720,734,0.0,0.102,0.845,0.708
71,2.367,Torchere A,Medium-Flare,0.7395,mauvaise,182,120,426,580,0.0,0.305,0.527,0.725
71,2.367,Torchere A,Dark-Smoke,0.7927,mauvaise,174,0,720,769,0.0,0.1,0.843,0.708
72,2.400,Torchere A,Medium-Flare,0.7855,mauvaise,201,147,423,669,0.0,0.334,0.497,0.735
72,2.400,Torchere A,Dark-Smoke,0.8959,mauvaise,187,0,720,792,0.0,0.101,0.828,0.689
73,2.433,Torchere A,Medium-Flare,0.6410,mauvaise,207,177,420,732,0.0,0.37,0.454,0.747
73,2.433,Torchere A,Dark-Smoke,0.9236,mauvaise,191,0,720,817,0.0,0.106,0.806,0.672
74,2.467,Torchere A,Medium-Flare,0.6958,mauvaise,201,234,408,827,0.0,0.38,0.463,0.764
74,2.467,Torchere A,Dark-Smoke,0.9245,mauvaise,185,0,720,842,0.0,0.104,0.794,0.666
75,2.500,Torchere A,Medium-Flare,0.4944,mauvaise,199,281,411,838,0.0,0.395,0.442,0.756
75,2.500,Torchere A,Dark-Smoke,0.9269,mauvaise,185,0,720,845,0.0,0.109,0.83,0.646
76,2.533,Torchere A,Medium-Flare,0.4432,mauvaise,211,190,430,736,0.0,0.407,0.401,0.738
76,2.533,Torchere A,Dark-Smoke,0.8531,mauvaise,189,0,720,861,0.0,0.117,0.795,0.64
77,2.567,Torchere A,Medium-Flare,0.4266,mauvaise,202,209,430,776,0.0,0.429,0.385,0.754
77,2.567,Torchere A,Dark-Smoke,0.7934,mauvaise,191,0,720,886,0.0,0.126,0.795,0.644
78,2.600,Torchere A,Medium-Flare,0.5496,mauvaise,199,205,429,683,0.0,0.452,0.338,0.759
78,2.600,Torchere A,Dark-Smoke,0.7537,mauvaise,183,0,719,876,0.0,0.128,0.798,0.647
79,2.633,Torchere A,Medium-Flare,0.6532,mauvaise,209,170,447,660,0.0,0.455,0.336,0.751
79,2.633,Torchere A,Dark-Smoke,0.7454,mauvaise,196,0,718,868,0.0,0.144,0.794,0.651
80,2.667,Torchere A,Medium-Flare,0.5494,mauvaise,227,157,485,687,0.0,0.426,0.404,0.731
80,2.667,Torchere A,Dark-Smoke,0.7817,mauvaise,225,0,720,860,0.0,0.159,0.779,0.641
81,2.700,Torchere A,Medium-Flare,0.8463,mauvaise,245,120,500,656,0.0,0.454,0.357,0.741
81,2.700,Torchere A,Medium-Flare,0.6687,mauvaise,249,385,474,844,0.0,0.441,0.446,0.763
81,2.700,Torchere A,Dark-Smoke,0.7502,mauvaise,237,0,720,849,0.0,0.179,0.753,0.643
82,2.733,Torchere A,Medium-Flare,0.7140,mauvaise,247,120,511,697,0.0,0.451,0.373,0.729
82,2.733,Torchere A,Medium-Flare,0.5101,mauvaise,245,375,475,832,0.0,0.431,0.463,0.749
82,2.733,Torchere A,Dark-Smoke,0.7567,mauvaise,237,0,720,833,0.0,0.186,0.742,0.633
83,2.767,Torchere A,Medium-Flare,0.4145,mauvaise,258,314,492,834,0.0,0.446,0.427,0.753
83,2.767,Torchere A,Dark-Smoke,0.7730,mauvaise,244,4,720,832,0.0,0.203,0.719,0.641
84,2.800,Torchere A,Dark-Smoke,0.6646,mauvaise,248,6,720,830,0.0,0.212,0.71,0.637
85,2.833,Torchere A,Dark-Flare,0.7763,mauvaise,257,9,720,815,0.0,0.225,0.69,0.625
85,2.833,Torchere A,Dark-Smoke,0.5792,mauvaise,254,5,720,813,0.0,0.223,0.692,0.624
86,2.867,Torchere A,Dark-Flare,0.7732,mauvaise,260,11,720,811,0.0,0.231,0.687,0.625
86,2.867,Torchere A,Dark-Smoke,0.6546,mauvaise,264,16,720,807,0.0,0.235,0.681,0.626
87,2.900,Torchere A,Dark-Flare,0.7545,mauvaise,267,19,720,816,0.0,0.238,0.67,0.618
87,2.900,Torchere A,Medium-Flare,0.4477,mauvaise,284,260,528,814,0.0,0.468,0.42,0.73
87,2.900,Torchere A,Dark-Smoke,0.5085,mauvaise,267,16,720,813,0.0,0.238,0.67,0.617
88,2.933,Torchere A,Dark-Flare,0.7047,mauvaise,260,8,720,805,0.0,0.238,0.674,0.602
88,2.933,Torchere A,Dark-Smoke,0.6789,mauvaise,268,16,720,803,0.0,0.245,0.664,0.605
89,2.967,Torchere A,Dark-Flare,0.8957,mauvaise,257,12,720,799,0.0,0.241,0.672,0.605
89,2.967,Torchere A,Dark-Smoke,0.5363,mauvaise,263,17,720,798,0.0,0.246,0.666,0.607
90,3.000,Torchere A,Dark-Flare,0.8567,mauvaise,262,10,709,793,0.0,0.25,0.66,0.608
90,3.000,Torchere A,Medium-Flare,0.5233,mauvaise,281,188,529,778,0.0,0.497,0.383,0.725
90,3.000,Torchere A,Dark-Smoke,0.5534,mauvaise,268,10,718,793,0.0,0.249,0.663,0.607
91,3.033,Torchere A,Dark-Flare,0.8177,mauvaise,272,3,720,792,0.0,0.245,0.666,0.607
