epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,3615.26,1.14192,0.83203,1.40551,0.85492,0.87105,0.90491,0.59411,1.15119,0.61831,1.33039,0.0284781,0.00949269,0.0284781,0.00949269,0.0284781,0.00949269,0.0284781,0.00949269
31,3731.94,1.12856,0.81595,1.39855,0.87295,0.85576,0.90401,0.58258,1.18641,0.61512,1.35927,0.0283733,0.00945776,0.0283733,0.00945776,0.0283733,0.00945776,0.0283733,0.00945776
32,3849.15,1.12217,0.83483,1.40254,0.88864,0.84222,0.89407,0.58298,1.17327,0.62015,1.34262,0.0282652,0.00942173,0.0282652,0.00942173,0.0282652,0.00942173,0.0282652,0.00942173
33,3966.17,1.11804,0.81597,1.39781,0.86729,0.85485,0.90326,0.58762,1.15646,0.61806,1.35196,0.0281539,0.00938463,0.0281539,0.00938463,0.0281539,0.00938463,0.0281539,0.00938463
34,4082.29,1.11847,0.80686,1.40376,0.85224,0.83891,0.89303,0.57859,1.1766,0.60952,1.35221,0.0280393,0.00934644,0.0280393,0.00934644,0.0280393,0.00934644,0.0280393,0.00934644
35,4199.42,1.11209,0.79687,1.39194,0.87824,0.83866,0.90917,0.59616,1.16465,0.60571,1.34443,0.0279216,0.00930719,0.0279216,0.00930719,0.0279216,0.00930719,0.0279216,0.00930719
36,4317.29,1.10346,0.79607,1.38536,0.84257,0.85102,0.88863,0.58913,1.14664,0.61399,1.33749,0.0278007,0.00926688,0.0278007,0.00926688,0.0278007,0.00926688,0.0278007,0.00926688
37,4434.57,1.11039,0.79304,1.39555,0.8416,0.85315,0.90088,0.60279,1.13813,0.61742,1.32181,0.0276766,0.00922553,0.0276766,0.00922553,0.0276766,0.00922553,0.0276766,0.00922553
38,4552.21,1.10252,0.79231,1.38987,0.84849,0.84311,0.88912,0.60208,1.12494,0.61808,1.31407,0.0275494,0.00918314,0.0275494,0.00918314,0.0275494,0.00918314,0.0275494,0.00918314
39,4668.31,1.08606,0.77868,1.37618,0.8758,0.86832,0.89656,0.59056,1.13744,0.59917,1.31597,0.0274192,0.00913973,0.0274192,0.00913973,0.0274192,0.00913973,0.0274192,0.00913973
40,4784.49,1.08362,0.76504,1.37313,0.88824,0.85938,0.91163,0.60995,1.13372,0.59406,1.31642,0.0272859,0.00909529,0.0272859,0.00909529,0.0272859,0.00909529,0.0272859,0.00909529
41,4902.66,1.08974,0.77456,1.37821,0.8921,0.8571,0.90738,0.60276,1.14236,0.59822,1.31721,0.0271496,0.00904986,0.0271496,0.00904986,0.0271496,0.00904986,0.0271496,0.00904986
42,5019.63,1.10045,0.78178,1.378,0.87616,0.86169,0.91014,0.59362,1.17185,0.60273,1.35341,0.0270103,0.00900343,0.0270103,0.00900343,0.0270103,0.00900343,0.0270103,0.00900343
43,5136.76,1.07388,0.75805,1.35597,0.90435,0.83194,0.90296,0.60196,1.14002,0.59256,1.3137,0.0268681,0.00895602,0.0268681,0.00895602,0.0268681,0.00895602,0.0268681,0.00895602
44,5253.47,1.08291,0.76564,1.36861,0.87589,0.87258,0.9034,0.58654,1.16216,0.59048,1.32681,0.0267229,0.00890764,0.0267229,0.00890764,0.0267229,0.00890764,0.0267229,0.00890764
45,5370.15,1.071,0.75005,1.35295,0.87804,0.86783,0.90408,0.60043,1.12658,0.59446,1.31255,0.0265749,0.0088583,0.0265749,0.0088583,0.0265749,0.0088583,0.0265749,0.0088583
46,5487.82,1.0719,0.75131,1.36136,0.89057,0.84491,0.91156,0.59701,1.15931,0.58713,1.33413,0.0264241,0.00880802,0.0264241,0.00880802,0.0264241,0.00880802,0.0264241,0.00880802
47,5604.45,1.07613,0.75762,1.36168,0.8685,0.86425,0.91433,0.61486,1.11447,0.57262,1.28286,0.0262704,0.0087568,0.0262704,0.0087568,0.0262704,0.0087568,0.0262704,0.0087568
48,5721.81,1.0559,0.73995,1.34458,0.87867,0.87519,0.9212,0.62125,1.1255,0.57435,1.3055,0.026114,0.00870466,0.026114,0.00870466,0.026114,0.00870466,0.026114,0.00870466
49,5839,1.06396,0.73986,1.35094,0.88937,0.86035,0.91242,0.61597,1.11835,0.57816,1.30051,0.0259549,0.00865162,0.0259549,0.00865162,0.0259549,0.00865162,0.0259549,0.00865162
50,5956.07,1.06003,0.7474,1.34763,0.88296,0.85692,0.91024,0.61925,1.09703,0.57829,1.28094,0.025793,0.00859768,0.025793,0.00859768,0.025793,0.00859768,0.025793,0.00859768
51,6072.98,1.06231,0.74288,1.34968,0.89843,0.8554,0.91533,0.62015,1.0935,0.56631,1.27922,0.0256286,0.00854286,0.0256286,0.00854286,0.0256286,0.00854286,0.0256286,0.00854286
52,6190.59,1.0609,0.74755,1.34666,0.91227,0.84161,0.91878,0.61709,1.10746,0.58979,1.28772,0.0254615,0.00848717,0.0254615,0.00848717,0.0254615,0.00848717,0.0254615,0.00848717
53,6307.77,1.04646,0.71947,1.33798,0.89066,0.8591,0.91724,0.62603,1.1115,0.5652,1.30431,0.0252919,0.00843062,0.0252919,0.00843062,0.0252919,0.00843062,0.0252919,0.00843062
54,6425.07,1.05404,0.7389,1.34434,0.90402,0.85608,0.92161,0.62509,1.09314,0.56108,1.27852,0.0251197,0.00837324,0.0251197,0.00837324,0.0251197,0.00837324,0.0251197,0.00837324
55,6542.02,1.04389,0.73033,1.33771,0.91428,0.84284,0.91801,0.63376,1.07825,0.55987,1.26901,0.0249451,0.00831503,0.0249451,0.00831503,0.0249451,0.00831503,0.0249451,0.00831503
56,6659.65,1.04674,0.71762,1.33759,0.89162,0.87111,0.9201,0.63451,1.08414,0.56432,1.27435,0.024768,0.008256,0.024768,0.008256,0.024768,0.008256,0.024768,0.008256
57,6777.02,1.04306,0.71954,1.33541,0.89731,0.86062,0.92405,0.63388,1.09728,0.56044,1.27662,0.0245886,0.00819618,0.0245886,0.00819618,0.0245886,0.00819618,0.0245886,0.00819618
58,6895.36,1.02884,0.7118,1.32978,0.90284,0.8624,0.93156,0.63446,1.09234,0.55438,1.27497,0.0244067,0.00813558,0.0244067,0.00813558,0.0244067,0.00813558,0.0244067,0.00813558
59,7013.3,1.03895,0.7149,1.33169,0.88153,0.88515,0.92799,0.63254,1.09912,0.56388,1.2784,0.0242226,0.00807421,0.0242226,0.00807421,0.0242226,0.00807421,0.0242226,0.00807421
60,7130.89,1.03774,0.70759,1.32927,0.88178,0.86807,0.92103,0.62896,1.09513,0.55178,1.28829,0.0240363,0.00801209,0.0240363,0.00801209,0.0240363,0.00801209,0.0240363,0.00801209
61,7248.03,1.03325,0.7214,1.32603,0.90697,0.83303,0.91454,0.62192,1.09053,0.55729,1.27729,0.0238477,0.00794923,0.0238477,0.00794923,0.0238477,0.00794923,0.0238477,0.00794923
62,7366.01,1.02544,0.71225,1.32687,0.8816,0.86336,0.91355,0.62338,1.08851,0.56258,1.2802,0.023657,0.00788565,0.023657,0.00788565,0.023657,0.00788565,0.023657,0.00788565
63,7483.45,1.02501,0.70283,1.32616,0.87286,0.89543,0.92172,0.63743,1.08214,0.5533,1.27876,0.0234641,0.00782136,0.0234641,0.00782136,0.0234641,0.00782136,0.0234641,0.00782136
64,7601.93,1.01926,0.70201,1.31335,0.90325,0.86077,0.92733,0.63521,1.08683,0.55405,1.28507,0.0232692,0.00775639,0.0232692,0.00775639,0.0232692,0.00775639,0.0232692,0.00775639
65,7717.38,1.01715,0.7002,1.31626,0.91065,0.85581,0.92909,0.64745,1.06658,0.53783,1.26416,0.0230722,0.00769074,0.0230722,0.00769074,0.0230722,0.00769074,0.0230722,0.00769074
66,7835.68,1.02796,0.70138,1.32547,0.89558,0.86923,0.92567,0.63429,1.1024,0.5431,1.28604,0.0228733,0.00762443,0.0228733,0.00762443,0.0228733,0.00762443,0.0228733,0.00762443
67,7952.97,1.01365,0.68432,1.31278,0.88835,0.87049,0.92614,0.6373,1.07218,0.54541,1.26357,0.0226724,0.00755748,0.0226724,0.00755748,0.0226724,0.00755748,0.0226724,0.00755748
68,8070.16,1.0216,0.68878,1.31253,0.87358,0.88184,0.9204,0.64248,1.06968,0.54048,1.25936,0.0224697,0.00748991,0.0224697,0.00748991,0.0224697,0.00748991,0.0224697,0.00748991
69,8187.34,1.00519,0.68343,1.30509,0.88927,0.85427,0.92389,0.64369,1.05312,0.541,1.25063,0.0222652,0.00742172,0.0222652,0.00742172,0.0222652,0.00742172,0.0222652,0.00742172
70,8304.85,0.9991,0.69138,1.30584,0.85876,0.87534,0.91449,0.63913,1.05077,0.54464,1.25448,0.0220589,0.00735295,0.0220589,0.00735295,0.0220589,0.00735295,0.0220589,0.00735295
71,8421.97,1.00646,0.68095,1.30968,0.89302,0.8772,0.91895,0.63839,1.06018,0.53882,1.25928,0.0218508,0.0072836,0.0218508,0.0072836,0.0218508,0.0072836,0.0218508,0.0072836
72,8539.7,1.00623,0.67871,1.30819,0.89571,0.87807,0.92047,0.64204,1.0562,0.53313,1.24965,0.0216411,0.0072137,0.0216411,0.0072137,0.0216411,0.0072137,0.0216411,0.0072137
73,8657.22,0.98991,0.66985,1.30492,0.88677,0.88076,0.92588,0.6344,1.07219,0.53895,1.26484,0.0214298,0.00714325,0.0214298,0.00714325,0.0214298,0.00714325,0.0214298,0.00714325
74,8775.28,0.99451,0.67683,1.29597,0.89396,0.86986,0.92173,0.63608,1.06871,0.54619,1.25347,0.0212169,0.00707228,0.0212169,0.00707228,0.0212169,0.00707228,0.0212169,0.00707228
75,8892.29,0.99437,0.6783,1.30428,0.88427,0.87277,0.91868,0.63667,1.06021,0.5341,1.24878,0.0210024,0.00700081,0.0210024,0.00700081,0.0210024,0.00700081,0.0210024,0.00700081
76,9007.37,0.99468,0.66537,1.29993,0.88114,0.86865,0.91786,0.63598,1.07232,0.53819,1.25806,0.0207866,0.00692885,0.0207866,0.00692885,0.0207866,0.00692885,0.0207866,0.00692885
77,9124.33,0.99171,0.66518,1.29685,0.90021,0.8491,0.91318,0.63771,1.0618,0.53663,1.25315,0.0205693,0.00685642,0.0205693,0.00685642,0.0205693,0.00685642,0.0205693,0.00685642
78,9241.14,0.98526,0.66284,1.2912,0.89026,0.86386,0.91661,0.64452,1.04779,0.53696,1.24801,0.0203506,0.00678354,0.0203506,0.00678354,0.0203506,0.00678354,0.0203506,0.00678354
79,9358.09,0.98938,0.66544,1.29499,0.9161,0.88011,0.9285,0.64112,1.05853,0.52127,1.2506,0.0201307,0.00671022,0.0201307,0.00671022,0.0201307,0.00671022,0.0201307,0.00671022
80,9476.02,0.97767,0.66503,1.28591,0.87769,0.87289,0.91837,0.64189,1.0517,0.53279,1.2393,0.0199095,0.00663649,0.0199095,0.00663649,0.0199095,0.00663649,0.0199095,0.00663649
81,9593.17,0.97865,0.66037,1.28678,0.89023,0.86648,0.92306,0.64059,1.06268,0.53337,1.25503,0.0196871,0.00656236,0.0196871,0.00656236,0.0196871,0.00656236,0.0196871,0.00656236
82,9710.2,0.98055,0.66262,1.28836,0.87791,0.88387,0.92628,0.65208,1.04266,0.52666,1.23566,0.0194636,0.00648785,0.0194636,0.00648785,0.0194636,0.00648785,0.0194636,0.00648785
83,9827.5,0.98156,0.66116,1.28748,0.92549,0.84953,0.92453,0.64798,1.05771,0.53097,1.25633,0.0192389,0.00641298,0.0192389,0.00641298,0.0192389,0.00641298,0.0192389,0.00641298
