frame_idx,timestamp_sec,torchere,class_name,confidence,qualite,x1,y1,x2,y2,dark_ratio,flame_ratio,smoke_ratio,mean_intensity,classif_source
1,0.033,Torchere A,Medium-Flare,0.6931,inactive,294,370,389,634,0.0,0.1,0.306,0.795,hsv
1,0.033,Torchere A,Dark-Flare,0.4327,inactive,292,371,391,635,0.0,0.096,0.301,0.794,hsv
1,0.033,Torchere A,Dark-Smoke,0.7217,inactive,218,0,720,644,0.0,0.008,0.238,0.772,hsv
2,0.067,Torchere A,Medium-Flare,0.5714,inactive,295,369,391,627,0.0,0.104,0.314,0.789,hsv
2,0.067,Torchere A,Dark-Flare,0.5510,inactive,293,369,392,628,0.0,0.1,0.309,0.789,hsv
2,0.067,Torchere A,Dark-Smoke,0.6691,inactive,214,0,720,643,0.0,0.008,0.237,0.771,hsv
3,0.100,Torchere A,Dark-Flare,0.7695,inactive,303,364,402,625,0.0,0.091,0.307,0.786,hsv
3,0.100,Torchere A,Medium-Flare,0.7477,inactive,307,363,400,623,0.0,0.098,0.32,0.786,hsv
3,0.100,Torchere A,Dark-Smoke,0.6908,inactive,185,0,720,647,0.0,0.007,0.254,0.77,hsv
4,0.133,Torchere A,Medium-Flare,0.7342,inactive,315,430,401,620,0.0,0.142,0.197,0.827,hsv
4,0.133,Torchere A,Dark-Smoke,0.8264,inactive,211,0,720,640,0.0,0.007,0.262,0.767,hsv
5,0.167,Torchere A,Medium-Flare,0.7129,moyenne,309,358,401,616,0.0,0.1,0.312,0.788,hsv
5,0.167,Torchere A,Light-Flare,0.4856,moyenne,304,353,410,619,0.0,0.084,0.321,0.78,hsv
5,0.167,Torchere A,Dark-Smoke,0.8355,moyenne,269,1,720,629,0.0,0.008,0.259,0.762,hsv
6,0.200,Torchere A,Medium-Flare,0.6416,moyenne,298,354,388,618,0.0,0.104,0.301,0.788,hsv
6,0.200,Torchere A,Light-Flare,0.3148,moyenne,297,353,396,620,0.0,0.093,0.323,0.78,hsv
6,0.200,Torchere A,Dark-Smoke,0.8111,moyenne,209,0,720,637,0.0,0.008,0.249,0.767,hsv
7,0.233,Torchere A,Medium-Flare,0.4934,moyenne,306,368,395,622,0.0,0.099,0.309,0.788,hsv
7,0.233,Torchere A,Dark-Flare,0.3972,moyenne,308,368,394,621,0.0,0.103,0.313,0.789,hsv
7,0.233,Torchere A,Dark-Smoke,0.7523,moyenne,201,0,718,641,0.0,0.007,0.254,0.767,hsv
8,0.267,Torchere A,Medium-Flare,0.8593,moyenne,298,418,383,620,0.0,0.133,0.197,0.825,hsv
8,0.267,Torchere A,Dark-Smoke,0.8587,moyenne,250,0,711,635,0.0,0.008,0.254,0.763,hsv
9,0.300,Torchere A,Medium-Flare,0.8944,moyenne,290,405,372,610,0.0,0.137,0.219,0.822,hsv
9,0.300,Torchere A,Dark-Smoke,0.8415,moyenne,200,0,685,625,0.0,0.008,0.259,0.764,hsv
10,0.333,Torchere A,Medium-Flare,0.8903,moyenne,291,394,376,605,0.0,0.125,0.233,0.815,hsv
10,0.333,Torchere A,Dark-Smoke,0.7798,moyenne,208,1,711,618,0.0,0.007,0.241,0.768,hsv
11,0.367,Torchere A,Medium-Flare,0.9009,moyenne,291,390,376,604,0.0,0.127,0.219,0.818,hsv
11,0.367,Torchere A,Dark-Smoke,0.7772,moyenne,208,1,678,611,0.0,0.008,0.257,0.764,hsv
12,0.400,Torchere A,Medium-Flare,0.8657,moyenne,306,393,391,607,0.0,0.128,0.246,0.813,hsv
12,0.400,Torchere A,Dark-Smoke,0.7450,moyenne,218,0,713,615,0.0,0.008,0.242,0.767,hsv
13,0.433,Torchere A,Dark-Flare,0.8001,mauvaise,305,391,394,619,0.0,0.122,0.265,0.807,hsv
13,0.433,Torchere A,Dark-Smoke,0.7626,mauvaise,228,2,702,633,0.0,0.008,0.251,0.765,hsv
14,0.467,Torchere A,Medium-Flare,0.8725,moyenne,296,389,380,615,0.0,0.13,0.235,0.814,hsv
14,0.467,Torchere A,Dark-Flare,0.2825,moyenne,297,387,379,616,0.0,0.132,0.236,0.814,hsv
14,0.467,Torchere A,Dark-Smoke,0.8116,moyenne,217,0,720,629,0.0,0.008,0.237,0.768,hsv
15,0.500,Torchere A,Medium-Flare,0.8321,moyenne,300,388,381,611,0.0,0.138,0.219,0.82,hsv
15,0.500,Torchere A,Dark-Flare,0.4487,moyenne,301,388,381,611,0.0,0.14,0.222,0.82,hsv
15,0.500,Torchere A,Dark-Smoke,0.8233,moyenne,210,0,720,623,0.0,0.008,0.236,0.769,hsv
16,0.533,Torchere A,Medium-Flare,0.8320,moyenne,301,371,389,608,0.0,0.124,0.25,0.808,hsv
16,0.533,Torchere A,Dark-Flare,0.7676,moyenne,304,373,388,608,0.0,0.131,0.251,0.81,hsv
16,0.533,Torchere A,Dark-Smoke,0.8179,moyenne,210,0,717,617,0.0,0.008,0.239,0.769,hsv
17,0.567,Torchere A,Dark-Flare,0.8426,moyenne,306,368,392,608,0.0,0.135,0.271,0.805,hsv
17,0.567,Torchere A,Medium-Flare,0.5407,moyenne,302,367,393,608,0.0,0.127,0.265,0.804,hsv
