frame_idx,timestamp_sec,torchere,class_name,confidence,qualite,x1,y1,x2,y2,dark_ratio,flame_ratio,smoke_ratio,mean_intensity
28,0.934,Torchere A,Medium-Flare,0.5803,moyenne,392,89,432,122,0.0,0.211,0.689,0.683
28,0.934,Torchere B,Medium-Flare,0.6040,moyenne,674,125,701,174,0.0,0.0,0.887,0.598
29,0.968,Torchere C,Medium-Flare,0.4022,moyenne,80,67,99,101,0.012,0.113,0.788,0.652
29,0.968,Torchere A,Medium-Flare,0.6997,moyenne,394,90,429,122,0.0,0.229,0.658,0.692
29,0.968,Torchere B,Medium-Flare,0.7097,moyenne,674,124,702,173,0.0,0.012,0.857,0.602
30,1.001,Torchere A,Medium-Flare,0.6914,moyenne,393,92,429,121,0.0,0.219,0.678,0.696
30,1.001,Torchere B,Medium-Flare,0.7471,moyenne,672,120,701,178,0.0,0.007,0.849,0.6
31,1.034,Torchere A,Medium-Flare,0.5922,moyenne,389,91,431,122,0.0,0.182,0.737,0.673
31,1.034,Torchere B,Medium-Flare,0.7678,moyenne,667,121,701,175,0.0,0.02,0.863,0.595
32,1.068,Torchere A,Medium-Flare,0.6091,moyenne,386,91,430,122,0.0,0.169,0.74,0.669
32,1.068,Torchere A,Light-Smoke,0.4811,moyenne,161,2,435,122,0.0,0.007,0.989,0.588
32,1.068,Torchere B,Medium-Flare,0.7681,moyenne,666,121,700,173,0.0,0.024,0.863,0.6
33,1.101,Torchere A,Medium-Flare,0.6905,moyenne,388,91,430,123,0.0,0.176,0.735,0.668
33,1.101,Torchere A,Light-Smoke,0.5274,moyenne,166,2,436,123,0.0,0.007,0.989,0.587
33,1.101,Torchere B,Medium-Flare,0.6988,moyenne,666,122,701,171,0.0,0.043,0.842,0.603
34,1.134,Torchere A,Medium-Flare,0.7141,moyenne,387,90,431,124,0.0,0.164,0.751,0.662
34,1.134,Torchere B,Medium-Flare,0.6211,moyenne,671,120,702,171,0.0,0.066,0.819,0.613
35,1.168,Torchere C,Medium-Flare,0.4463,moyenne,77,73,97,101,0.016,0.141,0.782,0.655
35,1.168,Torchere A,Medium-Flare,0.6924,moyenne,387,92,432,126,0.003,0.179,0.736,0.666
35,1.168,Torchere B,Medium-Flare,0.6584,moyenne,667,119,703,171,0.0,0.06,0.836,0.607
36,1.201,Torchere A,Medium-Flare,0.7353,moyenne,388,92,431,126,0.001,0.224,0.707,0.675
36,1.201,Torchere B,Medium-Flare,0.6892,moyenne,667,121,702,173,0.0,0.055,0.866,0.601
37,1.235,Torchere C,Medium-Flare,0.4401,moyenne,74,66,97,101,0.012,0.099,0.832,0.641
37,1.235,Torchere A,Medium-Flare,0.6455,moyenne,385,92,431,126,0.001,0.199,0.726,0.675
37,1.235,Torchere A,Light-Flare,0.4137,moyenne,385,93,431,125,0.0,0.211,0.709,0.683
37,1.235,Torchere B,Medium-Flare,0.5924,moyenne,672,119,699,174,0.0,0.061,0.846,0.61
38,1.268,Torchere C,Medium-Flare,0.6006,moyenne,73,68,97,101,0.008,0.109,0.816,0.646
38,1.268,Torchere A,Medium-Flare,0.6616,moyenne,385,91,431,125,0.0,0.208,0.71,0.68
38,1.268,Torchere A,Light-Flare,0.4058,moyenne,386,92,431,125,0.0,0.22,0.695,0.685
39,1.301,Torchere C,Medium-Flare,0.6328,moyenne,73,70,97,100,0.007,0.115,0.793,0.658
39,1.301,Torchere A,Medium-Flare,0.6568,moyenne,386,92,430,124,0.0,0.221,0.675,0.693
40,1.335,Torchere C,Medium-Flare,0.6402,moyenne,74,73,97,101,0.016,0.135,0.747,0.664
40,1.335,Torchere A,Medium-Flare,0.7512,moyenne,384,89,429,125,0.0,0.206,0.719,0.679
41,1.368,Torchere C,Medium-Flare,0.5295,moyenne,71,68,98,101,0.006,0.08,0.845,0.647
41,1.368,Torchere A,Medium-Flare,0.7263,moyenne,385,90,428,124,0.0,0.224,0.682,0.693
41,1.368,Torchere B,Medium-Flare,0.5913,moyenne,669,121,700,167,0.0,0.05,0.819,0.61
42,1.401,Torchere C,Medium-Flare,0.4030,moyenne,68,67,98,101,0.005,0.069,0.88,0.637
42,1.401,Torchere A,Medium-Flare,0.6803,moyenne,389,91,428,123,0.0,0.264,0.653,0.705
43,1.435,Torchere A,Medium-Flare,0.7240,moyenne,389,90,427,122,0.0,0.255,0.648,0.707
43,1.435,Torchere B,Medium-Flare,0.4726,moyenne,668,122,697,169,0.0,0.038,0.86,0.604
44,1.468,Torchere A,Medium-Flare,0.7230,moyenne,389,90,426,123,0.0,0.251,0.642,0.701
44,1.468,Torchere B,Medium-Flare,0.5904,moyenne,673,127,696,169,0.0,0.073,0.834,0.617
45,1.502,Torchere A,Medium-Flare,0.7601,moyenne,387,89,426,124,0.0,0.187,0.719,0.677
45,1.502,Torchere B,Medium-Flare,0.6030,moyenne,672,124,696,170,0.0,0.004,0.896,0.602
46,1.535,Torchere A,Medium-Flare,0.7393,moyenne,389,88,428,125,0.0,0.153,0.774,0.663
46,1.535,Torchere B,Medium-Flare,0.6126,moyenne,668,119,694,172,0.0,0.003,0.93,0.586
47,1.568,Torchere C,Medium-Flare,0.4425,moyenne,73,70,95,102,0.01,0.091,0.831,0.644
47,1.568,Torchere A,Medium-Flare,0.7198,moyenne,389,90,427,124,0.0,0.18,0.743,0.674
47,1.568,Torchere B,Medium-Flare,0.5408,moyenne,666,120,696,173,0.0,0.004,0.948,0.579
48,1.602,Torchere C,Medium-Flare,0.4658,moyenne,72,70,95,102,0.008,0.088,0.836,0.639
48,1.602,Torchere A,Light-Flare,0.6480,moyenne,391,91,428,123,0.0,0.207,0.725,0.68
48,1.602,Torchere A,Medium-Flare,0.4683,moyenne,390,91,428,124,0.0,0.195,0.74,0.676
49,1.635,Torchere C,Medium-Flare,0.4593,moyenne,73,71,94,101,0.006,0.098,0.819,0.652
49,1.635,Torchere A,Medium-Flare,0.7141,moyenne,389,91,428,124,0.0,0.197,0.73,0.679
50,1.668,Torchere C,Medium-Flare,0.5014,moyenne,72,69,95,102,0.013,0.08,0.835,0.64
50,1.668,Torchere A,Medium-Flare,0.7972,moyenne,388,91,429,125,0.0,0.218,0.696,0.691
51,1.702,Torchere C,Medium-Flare,0.5281,moyenne,71,67,94,102,0.009,0.081,0.847,0.636
51,1.702,Torchere A,Medium-Flare,0.8002,moyenne,388,91,427,125,0.0,0.273,0.63,0.714
51,1.702,Torchere B,Medium-Flare,0.6598,moyenne,668,130,694,173,0.0,0.0,0.907,0.593
52,1.735,Torchere C,Medium-Flare,0.5157,moyenne,71,68,94,103,0.011,0.082,0.841,0.632
52,1.735,Torchere A,Medium-Flare,0.8097,moyenne,388,91,427,125,0.0,0.269,0.642,0.714
52,1.735,Torchere B,Medium-Flare,0.5027,moyenne,668,133,694,172,0.0,0.0,0.891,0.599
53,1.768,Torchere C,Medium-Flare,0.4352,moyenne,71,67,94,102,0.009,0.082,0.841,0.638
53,1.768,Torchere A,Medium-Flare,0.5527,moyenne,388,91,426,125,0.0,0.291,0.611,0.725
54,1.802,Torchere C,Medium-Flare,0.4010,moyenne,70,65,92,101,0.011,0.087,0.84,0.639
54,1.802,Torchere A,Medium-Flare,0.6138,moyenne,386,90,425,124,0.0,0.295,0.613,0.724
55,1.835,Torchere C,Medium-Flare,0.4025,moyenne,72,71,90,101,0.011,0.139,0.781,0.665
55,1.835,Torchere A,Medium-Flare,0.7097,moyenne,387,91,424,123,0.0,0.347,0.557,0.742
55,1.835,Torchere B,Medium-Flare,0.5264,moyenne,667,130,694,171,0.0,0.03,0.86,0.603
56,1.869,Torchere A,Medium-Flare,0.6964,moyenne,387,89,423,123,0.0,0.349,0.572,0.731
56,1.869,Torchere B,Medium-Flare,0.6357,moyenne,668,128,693,170,0.0,0.02,0.861,0.606
57,1.902,Torchere A,Medium-Flare,0.7014,moyenne,386,89,423,122,0.0,0.329,0.595,0.721
58,1.935,Torchere A,Medium-Flare,0.7159,moyenne,385,88,423,121,0.0,0.294,0.609,0.705
59,1.969,Torchere A,Medium-Flare,0.7533,moyenne,383,88,424,123,0.0,0.238,0.67,0.688
60,2.002,Torchere A,Medium-Flare,0.7685,moyenne,382,87,423,123,0.0,0.203,0.712,0.678
60,2.002,Torchere B,Medium-Flare,0.4720,moyenne,669,122,692,165,0.0,0.029,0.851,0.606
61,2.035,Torchere A,Medium-Flare,0.7437,moyenne,381,89,423,123,0.0,0.207,0.72,0.682
62,2.069,Torchere A,Medium-Flare,0.7243,moyenne,382,90,424,123,0.0,0.216,0.706,0.683
63,2.102,Torchere A,Medium-Flare,0.7121,moyenne,383,89,424,123,0.0,0.236,0.707,0.687
64,2.135,Torchere A,Medium-Flare,0.7539,moyenne,386,89,425,123,0.0,0.259,0.682,0.691
65,2.169,Torchere A,Medium-Flare,0.7133,moyenne,381,87,422,122,0.0,0.243,0.679,0.688
66,2.202,Torchere A,Medium-Flare,0.7485,moyenne,381,87,422,120,0.0,0.258,0.672,0.693
67,2.236,Torchere A,Medium-Flare,0.6506,moyenne,380,89,420,120,0.0,0.28,0.642,0.709
68,2.269,Torchere C,Medium-Flare,0.4743,moyenne,69,66,88,101,0.018,0.119,0.783,0.647
68,2.269,Torchere A,Medium-Flare,0.6621,moyenne,381,88,420,120,0.0,0.284,0.635,0.709
68,2.269,Torchere B,Medium-Flare,0.4980,moyenne,665,127,690,172,0.0,0.0,0.985,0.575
69,2.302,Torchere C,Medium-Flare,0.4140,moyenne,68,64,88,100,0.014,0.101,0.786,0.648
69,2.302,Torchere A,Medium-Flare,0.6922,moyenne,377,88,421,120,0.0,0.256,0.678,0.697
69,2.302,Torchere B,Medium-Flare,0.5554,moyenne,665,126,690,171,0.0,0.0,0.989,0.577
70,2.336,Torchere A,Medium-Flare,0.7274,moyenne,378,88,420,120,0.0,0.26,0.663,0.701
70,2.336,Torchere B,Medium-Flare,0.4614,moyenne,668,128,690,169,0.0,0.0,0.952,0.584
71,2.369,Torchere A,Medium-Flare,0.6877,moyenne,378,87,420,121,0.0,0.229,0.683,0.691
72,2.402,Torchere A,Medium-Flare,0.6820,moyenne,378,88,419,122,0.0,0.233,0.686,0.693
73,2.436,Torchere A,Light-Flare,0.5349,moyenne,380,89,419,121,0.0,0.251,0.644,0.708
73,2.436,Torchere A,Medium-Flare,0.5020,moyenne,381,89,419,122,0.0,0.25,0.645,0.708
74,2.469,Torchere A,Medium-Flare,0.7285,moyenne,380,86,421,122,0.0,0.207,0.681,0.688
74,2.469,Torchere B,Medium-Flare,0.5415,moyenne,667,118,691,168,0.0,0.001,0.897,0.593
75,2.502,Torchere C,Medium-Flare,0.4703,moyenne,66,64,88,100,0.015,0.096,0.83,0.644
75,2.502,Torchere A,Medium-Flare,0.7741,moyenne,378,86,420,122,0.0,0.2,0.696,0.687
75,2.502,Torchere B,Medium-Flare,0.7010,moyenne,667,121,690,167,0.0,0.0,0.934,0.595
76,2.536,Torchere A,Medium-Flare,0.7927,moyenne,380,87,422,122,0.0,0.216,0.678,0.694
76,2.536,Torchere B,Medium-Flare,0.4555,moyenne,668,128,692,165,0.0,0.007,0.922,0.599
77,2.569,Torchere A,Medium-Flare,0.7668,moyenne,380,88,421,121,0.0,0.259,0.642,0.707
78,2.603,Torchere A,Medium-Flare,0.8113,moyenne,380,86,422,122,0.0,0.237,0.666,0.694
79,2.636,Torchere A,Medium-Flare,0.7890,moyenne,380,86,422,121,0.0,0.256,0.654,0.698
80,2.669,Torchere A,Medium-Flare,0.7963,moyenne,383,87,422,123,0.001,0.22,0.689,0.69
81,2.703,Torchere A,Medium-Flare,0.7851,moyenne,383,86,422,122,0.0,0.22,0.699,0.69
81,2.703,Torchere B,Medium-Flare,0.4015,moyenne,663,120,692,178,0.005,0.0,0.993,0.566
82,2.736,Torchere A,Medium-Flare,0.7850,moyenne,381,86,422,121,0.0,0.204,0.732,0.682
82,2.736,Torchere B,Medium-Flare,0.4502,moyenne,667,123,690,173,0.0,0.0,0.975,0.58
83,2.769,Torchere A,Medium-Flare,0.7252,moyenne,381,84,422,121,0.0,0.19,0.749,0.676
83,2.769,Torchere B,Medium-Flare,0.6179,moyenne,667,124,689,169,0.0,0.0,0.942,0.591
84,2.803,Torchere A,Medium-Flare,0.7132,moyenne,383,88,421,121,0.0,0.238,0.686,0.693
84,2.803,Torchere B,Medium-Flare,0.4836,moyenne,667,122,689,166,0.0,0.003,0.929,0.594
85,2.836,Torchere C,Medium-Flare,0.4195,moyenne,67,63,88,100,0.013,0.086,0.824,0.642
85,2.836,Torchere A,Medium-Flare,0.6659,moyenne,380,88,421,121,0.0,0.217,0.716,0.686
85,2.836,Torchere B,Medium-Flare,0.4878,moyenne,666,120,689,167,0.0,0.037,0.894,0.597
86,2.870,Torchere A,Medium-Flare,0.7209,moyenne,382,92,420,121,0.0,0.275,0.632,0.709
86,2.870,Torchere B,Medium-Flare,0.4290,moyenne,667,120,688,165,0.0,0.049,0.887,0.602
87,2.903,Torchere A,Medium-Flare,0.7334,moyenne,381,91,420,121,0.0,0.262,0.645,0.705
87,2.903,Torchere B,Medium-Flare,0.5109,moyenne,667,117,687,168,0.0,0.011,0.916,0.597
88,2.936,Torchere A,Medium-Flare,0.7516,moyenne,380,91,420,121,0.0,0.263,0.651,0.707
88,2.936,Torchere B,Medium-Flare,0.5328,moyenne,666,117,689,168,0.0,0.0,0.982,0.589
89,2.970,Torchere A,Medium-Flare,0.7821,moyenne,382,92,422,123,0.0,0.264,0.651,0.705
89,2.970,Torchere B,Medium-Flare,0.5398,moyenne,662,106,690,174,0.0,0.0,0.981,0.571
90,3.003,Torchere A,Medium-Flare,0.7410,moyenne,381,89,422,122,0.0,0.252,0.671,0.7
91,3.036,Torchere C,Medium-Flare,0.4681,moyenne,69,67,88,99,0.012,0.112,0.803,0.656
91,3.036,Torchere A,Medium-Flare,0.7066,moyenne,385,92,423,121,0.0,0.327,0.582,0.726
92,3.070,Torchere C,Medium-Flare,0.4529,moyenne,67,65,88,100,0.012,0.093,0.839,0.646
92,3.070,Torchere A,Medium-Flare,0.7047,moyenne,384,92,423,121,0.0,0.332,0.586,0.726
93,3.103,Torchere C,Medium-Flare,0.5123,moyenne,66,62,88,100,0.011,0.079,0.854,0.639
93,3.103,Torchere A,Medium-Flare,0.7327,moyenne,383,91,423,121,0.0,0.319,0.58,0.722
94,3.136,Torchere C,Medium-Flare,0.5515,moyenne,66,64,88,100,0.013,0.083,0.836,0.644
94,3.136,Torchere A,Medium-Flare,0.7203,moyenne,381,90,422,121,0.0,0.322,0.591,0.718
