frame_idx,timestamp_sec,torchere,class_name,confidence,qualite,x1,y1,x2,y2,dark_ratio,flame_ratio,smoke_ratio,mean_intensity
1,0.040,Torchere A,Medium-Flare,0.4831,moyenne,486,196,514,215,0.0,0.173,0.015,0.872
2,0.080,Torchere A,Medium-Flare,0.4260,moyenne,303,202,324,222,0.0,0.162,0.033,0.887
3,0.120,Torchere A,Medium-Flare,0.5791,moyenne,300,204,320,222,0.0,0.272,0.017,0.905
4,0.160,Torchere B,Medium-Flare,0.4753,moyenne,299,204,317,224,0.0,0.272,0.014,0.9
4,0.160,Torchere A,Medium-Flare,0.4887,moyenne,480,201,510,221,0.0,0.162,0.017,0.865
5,0.200,Torchere B,Medium-Flare,0.6763,moyenne,295,202,319,225,0.0,0.179,0.022,0.878
5,0.200,Torchere A,Medium-Flare,0.5129,moyenne,481,201,509,222,0.0,0.16,0.027,0.861
6,0.240,Torchere B,Medium-Flare,0.5982,moyenne,297,201,319,223,0.0,0.178,0.037,0.884
6,0.240,Torchere A,Medium-Flare,0.4371,moyenne,480,198,508,216,0.0,0.133,0.006,0.878
7,0.280,Torchere A,Light-Flare,0.6597,bonne,479,192,507,215,0.0,0.132,0.014,0.861
8,0.320,Torchere A,Light-Flare,0.5932,bonne,480,193,507,215,0.0,0.13,0.013,0.865
9,0.360,Torchere B,Medium-Flare,0.6727,moyenne,297,200,318,223,0.0,0.147,0.056,0.871
9,0.360,Torchere A,Light-Flare,0.6819,bonne,479,194,507,216,0.0,0.149,0.049,0.863
10,0.400,Torchere A,Light-Flare,0.6201,bonne,480,193,507,214,0.0,0.164,0.039,0.86
11,0.440,Torchere A,Light-Flare,0.6597,bonne,480,189,509,211,0.0,0.174,0.091,0.851
12,0.480,Torchere A,Light-Flare,0.6011,bonne,481,185,507,206,0.0,0.227,0.086,0.855
13,0.520,Torchere B,Medium-Flare,0.4298,moyenne,295,196,317,213,0.0,0.131,0.193,0.848
13,0.520,Torchere A,Light-Flare,0.6074,bonne,481,184,507,205,0.0,0.238,0.231,0.853
14,0.560,Torchere A,Light-Flare,0.4102,bonne,482,184,506,205,0.0,0.248,0.177,0.855
15,0.600,Torchere B,Medium-Flare,0.5254,moyenne,296,192,318,214,0.0,0.114,0.219,0.833
15,0.600,Torchere A,Light-Flare,0.4881,bonne,481,182,507,204,0.0,0.231,0.238,0.847
16,0.640,Torchere B,Medium-Flare,0.4514,moyenne,296,190,318,211,0.0,0.115,0.247,0.841
