epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,183.603,1.5309,2.00764,1.73623,0.74984,0.73436,0.76634,0.42966,1.38852,0.9852,1.5059,0.00599064,0.00199688,0.00599064,0.00199688,0.00599064,0.00199688,0.00599064,0.00199688
2,335.167,1.38019,1.23552,1.58001,0.71477,0.78362,0.78305,0.43375,1.39019,0.89738,1.51877,0.0119899,0.00399663,0.0119899,0.00399663,0.0119899,0.00399663,0.0119899,0.00399663
3,478.98,1.37952,1.18409,1.59072,0.75035,0.79492,0.80752,0.43363,1.49522,0.9134,1.58055,0.0179862,0.00599541,0.0179862,0.00599541,0.0179862,0.00599541,0.0179862,0.00599541
4,616.228,1.39521,1.18086,1.61225,0.79887,0.79012,0.83275,0.46817,1.39356,0.9445,1.58087,0.0239774,0.00799246,0.0239774,0.00799246,0.0239774,0.00799246,0.0239774,0.00799246
5,752.214,1.4004,1.21586,1.62108,0.78173,0.75417,0.80505,0.45196,1.3753,0.93057,1.55844,0.0299612,0.00998707,0.0299612,0.00998707,0.0299612,0.00998707,0.0299612,0.00998707
6,887.033,1.40951,1.2159,1.63608,0.77081,0.78586,0.82673,0.46044,1.40171,0.91532,1.60524,0.029954,0.00998466,0.029954,0.00998466,0.029954,0.00998466,0.029954,0.00998466
7,1023.03,1.38253,1.16234,1.61679,0.8242,0.81338,0.85376,0.49657,1.29942,0.83113,1.49138,0.0299338,0.00997792,0.0299338,0.00997792,0.0299338,0.00997792,0.0299338,0.00997792
8,1157.18,1.34374,1.11052,1.58067,0.80394,0.77867,0.84196,0.49877,1.3193,0.84159,1.53585,0.0299099,0.00996996,0.0299099,0.00996996,0.0299099,0.00996996,0.0299099,0.00996996
9,1292.5,1.33189,1.09254,1.57733,0.86399,0.82106,0.8758,0.52185,1.3296,0.7735,1.50483,0.0298823,0.00996077,0.0298823,0.00996077,0.0298823,0.00996077,0.0298823,0.00996077
10,1427.2,1.30292,1.0467,1.5507,0.85268,0.82125,0.88176,0.53987,1.28428,0.75631,1.46738,0.0298511,0.00995037,0.0298511,0.00995037,0.0298511,0.00995037,0.0298511,0.00995037
