epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,3370.19,1.09683,0.78153,1.36946,0.88163,0.84606,0.90407,0.61671,1.08353,0.61384,1.30043,0.0284781,0.00949269,0.0284781,0.00949269,0.0284781,0.00949269,0.0284781,0.00949269
31,3481.54,1.09478,0.77443,1.36393,0.89726,0.82992,0.90327,0.62937,1.05516,0.60058,1.27348,0.0283733,0.00945776,0.0283733,0.00945776,0.0283733,0.00945776,0.0283733,0.00945776
32,3591.53,1.09677,0.78319,1.37543,0.87759,0.8589,0.90287,0.62102,1.10099,0.60289,1.28614,0.0282652,0.00942173,0.0282652,0.00942173,0.0282652,0.00942173,0.0282652,0.00942173
33,3702.23,1.08733,0.78125,1.3587,0.83763,0.85903,0.8969,0.62573,1.06158,0.60584,1.26546,0.0281539,0.00938463,0.0281539,0.00938463,0.0281539,0.00938463,0.0281539,0.00938463
34,3811.79,1.06864,0.76271,1.35337,0.86329,0.87651,0.91496,0.63042,1.07293,0.58562,1.28274,0.0280393,0.00934644,0.0280393,0.00934644,0.0280393,0.00934644,0.0280393,0.00934644
35,3922.46,1.06124,0.75302,1.34327,0.8618,0.88221,0.89639,0.62535,1.06474,0.59401,1.28521,0.0279216,0.00930719,0.0279216,0.00930719,0.0279216,0.00930719,0.0279216,0.00930719
36,4032.98,1.06159,0.75024,1.34559,0.90305,0.8474,0.91551,0.63734,1.06006,0.578,1.25853,0.0278007,0.00926688,0.0278007,0.00926688,0.0278007,0.00926688,0.0278007,0.00926688
37,4143.29,1.06736,0.74809,1.34815,0.87275,0.87148,0.91484,0.6457,1.04712,0.57072,1.25424,0.0276766,0.00922553,0.0276766,0.00922553,0.0276766,0.00922553,0.0276766,0.00922553
38,4253.5,1.0682,0.7586,1.35014,0.84564,0.87273,0.90866,0.6284,1.0785,0.59141,1.28067,0.0275494,0.00918314,0.0275494,0.00918314,0.0275494,0.00918314,0.0275494,0.00918314
39,4363.83,1.05466,0.7409,1.34277,0.87508,0.87163,0.91066,0.64237,1.06065,0.58205,1.26323,0.0274192,0.00913973,0.0274192,0.00913973,0.0274192,0.00913973,0.0274192,0.00913973
40,4473.9,1.05135,0.73795,1.33687,0.88694,0.86047,0.91587,0.64579,1.0468,0.57191,1.24916,0.0272859,0.00909529,0.0272859,0.00909529,0.0272859,0.00909529,0.0272859,0.00909529
41,4584,1.05045,0.73767,1.33617,0.86842,0.85119,0.89518,0.62795,1.0551,0.5788,1.24891,0.0271496,0.00904986,0.0271496,0.00904986,0.0271496,0.00904986,0.0271496,0.00904986
42,4693.56,1.05999,0.74366,1.33475,0.86649,0.87877,0.91797,0.63818,1.04654,0.54812,1.25348,0.0270103,0.00900343,0.0270103,0.00900343,0.0270103,0.00900343,0.0270103,0.00900343
43,4803.31,1.04545,0.70892,1.32531,0.86555,0.87858,0.90961,0.64109,1.01107,0.56853,1.22634,0.0268681,0.00895602,0.0268681,0.00895602,0.0268681,0.00895602,0.0268681,0.00895602
44,4913.36,1.04165,0.72368,1.32745,0.89646,0.85822,0.9151,0.64813,1.02235,0.54946,1.23749,0.0267229,0.00890764,0.0267229,0.00890764,0.0267229,0.00890764,0.0267229,0.00890764
45,5023.38,1.02852,0.70906,1.31368,0.86508,0.85726,0.89662,0.62875,1.03752,0.56947,1.24375,0.0265749,0.0088583,0.0265749,0.0088583,0.0265749,0.0088583,0.0265749,0.0088583
46,5133.24,1.03244,0.71718,1.32259,0.8706,0.86811,0.90351,0.63778,1.03347,0.5627,1.23302,0.0264241,0.00880802,0.0264241,0.00880802,0.0264241,0.00880802,0.0264241,0.00880802
47,5243.35,1.02631,0.71309,1.31431,0.85193,0.88622,0.91808,0.64621,1.03711,0.55759,1.25474,0.0262704,0.0087568,0.0262704,0.0087568,0.0262704,0.0087568,0.0262704,0.0087568
48,5352.9,1.0151,0.70302,1.30354,0.89269,0.8631,0.91916,0.65507,1.01867,0.53482,1.22962,0.026114,0.00870466,0.026114,0.00870466,0.026114,0.00870466,0.026114,0.00870466
49,5463.06,1.01485,0.69559,1.30429,0.89594,0.84516,0.91765,0.65013,1.04053,0.54914,1.25155,0.0259549,0.00865162,0.0259549,0.00865162,0.0259549,0.00865162,0.0259549,0.00865162
50,5572.58,1.02236,0.68936,1.31387,0.88973,0.85142,0.91101,0.64645,1.03194,0.54625,1.24988,0.025793,0.00859768,0.025793,0.00859768,0.025793,0.00859768,0.025793,0.00859768
51,5682.45,1.01301,0.69649,1.30622,0.91302,0.86242,0.92308,0.6558,1.02238,0.52797,1.23013,0.0256286,0.00854286,0.0256286,0.00854286,0.0256286,0.00854286,0.0256286,0.00854286
52,5792.33,1.01554,0.69684,1.30588,0.91566,0.86694,0.92926,0.66448,1.01352,0.53832,1.22315,0.0254615,0.00848717,0.0254615,0.00848717,0.0254615,0.00848717,0.0254615,0.00848717
53,5902.85,1.00731,0.69615,1.29952,0.87708,0.89012,0.91743,0.65231,1.02545,0.53006,1.22921,0.0252919,0.00843062,0.0252919,0.00843062,0.0252919,0.00843062,0.0252919,0.00843062
54,6012.64,1.00401,0.69236,1.30127,0.90295,0.87439,0.93056,0.66769,1.0194,0.52362,1.22869,0.0251197,0.00837324,0.0251197,0.00837324,0.0251197,0.00837324,0.0251197,0.00837324
55,6123.15,0.98773,0.67304,1.28997,0.88487,0.89549,0.92882,0.66862,1.00605,0.52284,1.21567,0.0249451,0.00831503,0.0249451,0.00831503,0.0249451,0.00831503,0.0249451,0.00831503
56,6233.06,0.99389,0.67581,1.29128,0.88686,0.89883,0.9347,0.6681,0.99594,0.52482,1.21855,0.024768,0.008256,0.024768,0.008256,0.024768,0.008256,0.024768,0.008256
57,6343.05,0.99148,0.68016,1.29887,0.89297,0.85872,0.9152,0.65694,0.99969,0.5412,1.21836,0.0245886,0.00819618,0.0245886,0.00819618,0.0245886,0.00819618,0.0245886,0.00819618
58,6452.69,0.9919,0.67256,1.28826,0.88485,0.88809,0.92641,0.66295,1.00529,0.51385,1.21572,0.0244067,0.00813558,0.0244067,0.00813558,0.0244067,0.00813558,0.0244067,0.00813558
59,6562.05,0.99172,0.6713,1.28458,0.8941,0.87693,0.93039,0.66673,0.99483,0.52132,1.21256,0.0242226,0.00807421,0.0242226,0.00807421,0.0242226,0.00807421,0.0242226,0.00807421
60,6671.87,0.98458,0.66497,1.28181,0.91612,0.87372,0.93798,0.68755,0.98169,0.50388,1.20641,0.0240363,0.00801209,0.0240363,0.00801209,0.0240363,0.00801209,0.0240363,0.00801209
61,6781.43,0.98759,0.66431,1.29047,0.91345,0.8843,0.93946,0.67746,1.00482,0.50828,1.21765,0.0238477,0.00794923,0.0238477,0.00794923,0.0238477,0.00794923,0.0238477,0.00794923
62,6890.74,0.98501,0.67705,1.28545,0.89844,0.88611,0.93201,0.67564,0.9904,0.50968,1.21043,0.023657,0.00788565,0.023657,0.00788565,0.023657,0.00788565,0.023657,0.00788565
63,7000.54,0.9758,0.66809,1.281,0.92633,0.8822,0.93294,0.67673,0.99512,0.50698,1.21786,0.0234641,0.00782136,0.0234641,0.00782136,0.0234641,0.00782136,0.0234641,0.00782136
64,7110.08,0.97076,0.65624,1.27634,0.89085,0.86842,0.92036,0.66992,0.9908,0.5223,1.20479,0.0232692,0.00775639,0.0232692,0.00775639,0.0232692,0.00775639,0.0232692,0.00775639
65,7219.81,0.97383,0.65874,1.27492,0.92103,0.85727,0.92601,0.67194,1.0018,0.50517,1.21027,0.0230722,0.00769074,0.0230722,0.00769074,0.0230722,0.00769074,0.0230722,0.00769074
