frame_idx,timestamp_sec,torchere,class_name,confidence,qualite,x1,y1,x2,y2,dark_ratio,flame_ratio,smoke_ratio,mean_intensity,classif_source
1,0.033,Torchere A,Light-Smoke,0.4744,inactive,464,0,768,184,0.0,0.0,0.894,0.679,hsv
2,0.067,Torchere A,Light-Smoke,0.5343,inactive,470,0,691,184,0.0,0.0,0.855,0.685,hsv
4,0.133,Torchere A,Light-Smoke,0.5910,inactive,473,2,708,184,0.0,0.0,0.858,0.688,hsv
5,0.167,Torchere A,Light-Smoke,0.5293,inactive,475,0,767,184,0.0,0.0,0.876,0.69,hsv
6,0.200,Torchere A,Light-Smoke,0.4962,inactive,475,1,767,183,0.0,0.0,0.869,0.692,hsv
18,0.601,Torchere A,Light-Smoke,0.4769,inactive,2,5,743,217,0.0,0.0,0.661,0.677,hsv
19,0.634,Torchere A,Light-Smoke,0.5772,inactive,4,6,728,207,0.0,0.0,0.656,0.687,hsv
28,0.934,Torchere A,Medium-Smoke,0.4586,inactive,28,3,758,204,0.0,0.0,0.674,0.686,hsv
29,0.968,Torchere A,Medium-Smoke,0.4829,inactive,28,4,761,200,0.0,0.0,0.676,0.689,hsv
30,1.001,Torchere A,Medium-Smoke,0.5632,inactive,21,5,766,199,0.0,0.0,0.679,0.691,hsv
31,1.034,Torchere A,Medium-Smoke,0.4976,inactive,21,4,766,201,0.0,0.0,0.678,0.689,hsv
33,1.101,Torchere A,Medium-Smoke,0.6523,inactive,23,3,768,201,0.0,0.0,0.678,0.689,hsv
34,1.134,Torchere A,Light-Smoke,0.4525,inactive,4,2,764,201,0.0,0.0,0.668,0.693,hsv
40,1.335,Torchere A,Light-Smoke,0.5475,inactive,23,1,705,202,0.0,0.0,0.668,0.687,hsv
41,1.368,Torchere A,Light-Smoke,0.8019,inactive,9,1,734,204,0.0,0.0,0.672,0.687,hsv
42,1.401,Torchere A,Light-Smoke,0.7782,inactive,7,0,749,204,0.0,0.0,0.671,0.69,hsv
43,1.435,Torchere A,Light-Smoke,0.6756,inactive,9,0,741,202,0.0,0.0,0.67,0.691,hsv
45,1.502,Torchere A,Light-Smoke,0.7455,inactive,3,1,748,203,0.0,0.0,0.674,0.69,hsv
46,1.535,Torchere A,Light-Smoke,0.5362,inactive,14,3,754,196,0.0,0.0,0.682,0.694,hsv
48,1.602,Torchere A,Light-Smoke,0.6562,inactive,34,0,729,203,0.0,0.0,0.684,0.684,hsv
50,1.668,Torchere A,Light-Smoke,0.5590,inactive,52,0,762,207,0.0,0.0,0.703,0.679,hsv
50,1.668,Torchere B,Medium-Smoke,0.4304,inactive,57,0,729,205,0.0,0.0,0.7,0.678,hsv
51,1.702,Torchere B,Light-Smoke,0.5863,inactive,45,1,765,209,0.0,0.0,0.706,0.678,hsv
52,1.735,Torchere B,Light-Smoke,0.6292,inactive,37,0,748,205,0.0,0.0,0.695,0.681,hsv
62,2.069,Torchere A,Light-Smoke,0.5362,inactive,471,2,768,185,0.0,0.0,0.868,0.672,hsv
85,2.836,Torchere A,Light-Smoke,0.4749,inactive,450,1,694,185,0.0,0.0,0.872,0.656,hsv
