frame_idx,timestamp_sec,torchere,class_name,confidence,qualite,x1,y1,x2,y2,dark_ratio,flame_ratio,smoke_ratio,mean_intensity,classif_source
1,0.040,Torchere A,Medium-Flare,0.3908,inactive,305,201,325,219,0.0,0.233,0.008,0.907,hsv
1,0.040,Torchere B,Medium-Flare,0.4831,inactive,486,196,514,215,0.0,0.173,0.015,0.872,hsv
1,0.040,Torchere B,Light-Flare,0.2883,inactive,487,195,514,215,0.0,0.17,0.011,0.871,hsv
2,0.080,Torchere A,Medium-Flare,0.4260,inactive,303,202,324,222,0.0,0.162,0.033,0.887,hsv
2,0.080,Torchere B,Light-Flare,0.3578,inactive,489,197,512,215,0.0,0.186,0.0,0.887,hsv
3,0.120,Torchere A,Medium-Flare,0.5791,inactive,300,204,320,222,0.0,0.272,0.017,0.905,hsv
3,0.120,Torchere B,Light-Flare,0.3434,inactive,487,200,510,219,0.0,0.174,0.018,0.883,hsv
4,0.160,Torchere A,Medium-Flare,0.4753,inactive,299,204,317,224,0.0,0.272,0.014,0.9,hsv
4,0.160,Torchere B,Medium-Flare,0.4887,inactive,480,201,510,221,0.0,0.162,0.017,0.865,hsv
5,0.200,Torchere A,Medium-Flare,0.6763,bonne,295,202,319,225,0.0,0.179,0.022,0.878,hsv
5,0.200,Torchere B,Medium-Flare,0.5129,bonne,481,201,509,222,0.0,0.16,0.027,0.861,hsv
6,0.240,Torchere A,Medium-Flare,0.5982,bonne,297,201,319,223,0.0,0.178,0.037,0.884,hsv
6,0.240,Torchere B,Medium-Flare,0.4371,bonne,480,198,508,216,0.0,0.133,0.006,0.878,hsv
7,0.280,Torchere A,Medium-Flare,0.3866,bonne,298,200,318,220,0.0,0.237,0.033,0.893,hsv
7,0.280,Torchere B,Light-Flare,0.6597,bonne,479,192,507,215,0.0,0.132,0.014,0.861,hsv
8,0.320,Torchere A,Medium-Flare,0.3571,bonne,299,200,319,221,0.0,0.145,0.045,0.884,hsv
