frame_idx,timestamp_sec,torchere,class_name,confidence,qualite,x1,y1,x2,y2,dark_ratio,flame_ratio,smoke_ratio,mean_intensity,classif_source
1,0.033,Torchere A,Medium-Flare,0.7270,inactive,161,424,323,531,,,,,svm
2,0.067,Torchere A,Medium-Flare,0.7300,inactive,163,427,323,529,,,,,svm
3,0.100,Torchere A,Medium-Flare,0.7465,inactive,160,430,323,531,,,,,svm
4,0.133,Torchere A,Medium-Flare,0.4132,inactive,140,432,326,536,,,,,svm
5,0.167,Torchere A,Medium-Flare,0.5096,mauvaise,140,431,325,535,,,,,svm
5,0.167,Torchere A,Dark-Flare,0.2954,mauvaise,148,436,324,531,,,,,svm
6,0.200,Torchere A,Medium-Flare,0.6664,mauvaise,151,431,323,535,,,,,svm
6,0.200,Torchere A,Dark-Flare,0.3552,mauvaise,152,432,320,533,,,,,svm
7,0.234,Torchere A,Medium-Flare,0.8342,mauvaise,154,431,317,532,,,,,svm
8,0.267,Torchere A,Medium-Flare,0.8020,moyenne,142,430,317,531,,,,,svm
9,0.300,Torchere A,Medium-Flare,0.7640,mauvaise,131,428,321,526,,,,,svm
10,0.334,Torchere A,Medium-Flare,0.6433,moyenne,121,427,321,528,,,,,svm
11,0.367,Torchere A,Medium-Flare,0.4456,moyenne,107,428,322,527,,,,,svm
12,0.400,Torchere A,Medium-Flare,0.2933,moyenne,124,428,322,512,,,,,svm
13,0.434,Torchere A,Medium-Flare,0.4867,moyenne,107,423,322,520,,,,,svm
14,0.467,Torchere A,Medium-Flare,0.3020,moyenne,159,425,319,514,,,,,svm
15,0.501,Torchere A,Medium-Flare,0.4741,moyenne,176,419,317,519,,,,,svm
17,0.567,Torchere A,Medium-Flare,0.3920,moyenne,176,421,312,522,,,,,svm
18,0.601,Torchere A,Dark-Flare,0.4497,mauvaise,172,421,301,522,,,,,svm
18,0.601,Torchere A,Medium-Flare,0.3352,mauvaise,171,421,303,520,,,,,svm
19,0.634,Torchere A,Dark-Flare,0.3950,mauvaise,167,427,304,524,,,,,svm
19,0.634,Torchere A,Medium-Flare,0.3231,mauvaise,166,426,306,522,,,,,svm
20,0.667,Torchere A,Medium-Flare,0.6788,moyenne,164,431,311,523,,,,,svm
21,0.701,Torchere A,Medium-Flare,0.7950,moyenne,157,433,310,523,,,,,svm
22,0.734,Torchere A,Medium-Flare,0.7993,moyenne,152,429,319,526,,,,,svm
23,0.767,Torchere A,Medium-Flare,0.7541,moyenne,146,432,317,526,,,,,svm
24,0.801,Torchere A,Medium-Flare,0.7385,moyenne,142,437,315,524,,,,,svm
25,0.834,Torchere A,Medium-Flare,0.6594,moyenne,137,435,314,522,,,,,svm
26,0.868,Torchere A,Medium-Flare,0.5602,mauvaise,128,435,309,527,,,,,svm
26,0.868,Torchere A,Dark-Flare,0.4384,mauvaise,128,435,310,527,,,,,svm
27,0.901,Torchere A,Dark-Flare,0.6529,mauvaise,123,442,311,531,,,,,svm
27,0.901,Torchere A,Medium-Flare,0.3542,mauvaise,125,441,312,532,,,,,svm
28,0.934,Torchere A,Medium-Flare,0.5955,mauvaise,122,443,310,530,,,,,svm
