frame_idx,timestamp_sec,torchere,class_name,confidence,qualite,x1,y1,x2,y2,dark_ratio,flame_ratio,smoke_ratio,mean_intensity,classif_source
1,0.033,Torchere A,Light-Smoke,0.7993,inactive,412,11,598,263,0.002,0.0,0.284,0.764,hsv
2,0.067,Torchere A,Light-Smoke,0.8157,inactive,413,11,600,264,0.001,0.0,0.287,0.763,hsv
3,0.100,Torchere A,Light-Smoke,0.8364,inactive,414,11,600,264,0.001,0.0,0.285,0.764,hsv
4,0.133,Torchere A,Light-Smoke,0.8167,inactive,413,11,599,264,0.001,0.0,0.286,0.764,hsv
5,0.167,Torchere A,Light-Smoke,0.8249,inactive,412,12,598,263,0.002,0.0,0.287,0.764,hsv
6,0.200,Torchere A,Light-Smoke,0.7871,inactive,408,12,598,263,0.002,0.0,0.29,0.762,hsv
7,0.234,Torchere A,Light-Smoke,0.7684,inactive,397,11,598,264,0.002,0.0,0.301,0.751,hsv
8,0.267,Torchere A,Light-Smoke,0.7701,inactive,400,11,600,264,0.002,0.0,0.298,0.751,hsv
9,0.300,Torchere A,Light-Smoke,0.7428,inactive,401,11,600,263,0.003,0.0,0.294,0.752,hsv
10,0.334,Torchere A,Light-Smoke,0.7913,inactive,398,11,602,264,0.003,0.0,0.299,0.747,hsv
11,0.367,Torchere A,Light-Smoke,0.8376,inactive,401,10,603,264,0.003,0.0,0.295,0.75,hsv
12,0.400,Torchere A,Light-Smoke,0.8473,inactive,400,10,603,264,0.003,0.0,0.296,0.748,hsv
13,0.434,Torchere A,Light-Smoke,0.8403,inactive,404,11,602,264,0.003,0.0,0.292,0.752,hsv
14,0.467,Torchere A,Light-Smoke,0.8400,inactive,400,10,604,264,0.003,0.0,0.295,0.748,hsv
15,0.501,Torchere A,Light-Smoke,0.8123,inactive,399,10,603,265,0.003,0.0,0.297,0.747,hsv
16,0.534,Torchere A,Light-Smoke,0.7959,inactive,395,9,604,263,0.003,0.0,0.294,0.746,hsv
17,0.567,Torchere A,Light-Smoke,0.7402,inactive,397,10,603,264,0.003,0.0,0.295,0.745,hsv
18,0.601,Torchere A,Light-Smoke,0.7558,inactive,393,9,603,262,0.003,0.0,0.291,0.747,hsv
19,0.634,Torchere A,Light-Smoke,0.7324,inactive,392,11,603,263,0.003,0.0,0.296,0.744,hsv
20,0.667,Torchere A,Light-Smoke,0.6798,inactive,393,11,604,263,0.003,0.0,0.294,0.744,hsv
21,0.701,Torchere A,Light-Smoke,0.6754,inactive,253,9,605,254,0.002,0.001,0.276,0.75,hsv
22,0.734,Torchere A,Light-Smoke,0.6985,inactive,252,9,605,253,0.002,0.001,0.274,0.752,hsv
23,0.767,Torchere A,Light-Smoke,0.6701,inactive,396,11,602,263,0.002,0.0,0.291,0.748,hsv
24,0.801,Torchere A,Light-Smoke,0.7183,inactive,253,7,605,253,0.002,0.001,0.272,0.753,hsv
